SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
ABCOTS,20260911,208.8,223.45,200.1,203.06,5402989.34,A B COTSPIN INDIA LIMITED,Diversified,Cash Only,20260911,208.86999999999998,211.77499999999998,205.96499999999997,211.77499999999998,205.96499999999997,5.810000000000002,2.861223283758496,Wide,Bearish,Below CPR,False,False,0.8627450980392157,51,42286203.3,False,False,Overlapping,True,Risk Off,False,None,17.630000000000003,330.95099999999996,,0.32955190017016456,0.12777191893224427,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABDL,20260911,609.9,636.9,586.55,632.5,1105216746.9,ALLIED BLEND N DISTILS L,Fast Moving Consumer Goods,Cash Only,20260911,618.65,611.7249999999999,625.575,625.575,611.7249999999999,13.850000000000136,2.1897233201581243,Wide,Bullish,Above CPR,False,False,0.6792452830188679,53,1086004607.0,False,False,Overlapping,True,Risk Off,False,None,47.08928571428573,567.4630000000001,,0.29412210845658227,1.0176906615093209,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABFRL,20260911,52.95,55.11,49.4,50.44,1145545148.31,ADITYA BIRLA FASHION & RT,Consumer Services,Cash Only,20260911,51.65,52.254999999999995,51.045,52.254999999999995,51.045,1.2099999999999937,2.398889770023778,Wide,Bearish,Below CPR,False,False,0.8490566037735849,53,1390944790.8600001,False,False,Overlapping,True,Risk Off,False,None,4.166428571428571,66.90140000000001,,0.2904165952340119,0.8235734127173564,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABINFRA,20260911,11.45,11.7,11.01,11.34,27632813.68,A B INFRABUILD LIMITED,Real Estate & Infra,Cash Only,20260911,11.35,11.355,11.344999999999999,11.355,11.344999999999999,0.010000000000001563,0.08818342151676864,Narrow,Bearish,Below CPR,False,True,0.057692307692307696,52,81311347.72,False,False,Overlapping,True,Risk Off,True,None,1.6707142857142858,26.336400000000005,,0.005985463873451127,0.33983957288661704,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABLBL,20260911,86.9,87.4,82.6,83.61,182336695.42,ADITYA BIRLA LIFES BRAN L,Consumer Services,Cash Only,20260911,84.53666666666668,85.0,84.07333333333335,85.0,84.07333333333335,0.9266666666666481,1.108320376350494,Wide,Bearish,Below CPR,False,False,0.49056603773584906,53,537939217.3199999,False,False,Overlapping,True,Risk Off,False,None,4.8885714285714315,108.285,,0.18955776349113188,0.3389540854232509,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABMINTLLTD,20260911,54.75,54.75,52.5,52.5,16582.64,ABM INTERNATIONAL LTD,Diversified,Cash Only,20260911,53.25,53.625,52.875,53.625,52.875,0.75,1.4285714285714286,Wide,Bearish,Below CPR,False,False,0.3793103448275862,29,188056.69,False,False,Lower,True,Risk Off,False,None,6.195,,,0.12106537530266344,0.08817894221152142,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABMKNO,20260911,186.0,190.8,180.0,181.45,1057092.65,A B M KNOWLEDGEWARE LTD.,Diversified,Cash Only,20260911,184.08333333333334,185.4,182.76666666666668,185.4,182.76666666666668,2.6333333333333258,1.4512721594562281,Wide,Bearish,Below CPR,False,False,0.47619047619047616,21,2087888.44,False,False,Lower,True,Risk Off,False,None,17.751428571428573,,,0.14834486828692484,0.5062974772732589,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABREL,20260911,1373.6,1384.0,1276.0,1281.6,820310499.8,ADITYA BIRLA REAL EST LTD,Realty,Cash Only,20260911,1313.8666666666666,1330.0,1297.7333333333331,1330.0,1297.7333333333331,32.26666666666688,2.5176862255514108,Wide,Bearish,Below CPR,False,False,0.8301886792452831,53,1293894573.6,False,False,Lower,True,Risk Off,False,None,99.4,1443.244,,0.324614352783369,0.633985578529518,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACC,20260911,1287.0,1288.5,1230.6,1246.5,693029558.2,ACC LIMITED,Construction Materials,Cash Only,20260911,1255.2,1259.55,1250.8500000000001,1259.55,1250.8500000000001,8.699999999999818,0.6979542719614775,Moderate,Bearish,Below CPR,False,False,0.5094339622641509,53,1345697156.1,False,False,Lower,True,Risk Off,False,None,54.0214285714286,1537.5080000000003,,0.16104720349067486,0.514996672957597,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACCELYA,20260911,1131.0,1135.8,1110.0,1118.4,29486979.9,ACCELYA SOLN INDIA LTD,Diversified,Cash Only,20260911,1121.4,1122.9,1119.9,1122.9,1119.9,3.0,0.26824034334763946,Moderate,Bearish,Below CPR,False,False,0.24528301886792453,53,64980722.8,False,False,Lower,True,Risk Off,True,None,40.064285714285724,1225.776,,0.07487965769299339,0.453780423322715,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACCURACY,20260911,4.33,4.45,4.06,4.19,651479.87,ACCURACY SHIPPING LIMITED,Diversified,Cash Only,20260911,4.233333333333333,4.255,4.211666666666667,4.255,4.211666666666667,0.043333333333333,1.0342084327764438,Wide,Bearish,Below CPR,False,False,0.43902439024390244,41,2681540.2600000002,False,False,Lower,True,Risk Off,False,None,0.7500000000000001,,,0.057777777777777324,0.24294987463660156,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACE,20260911,1125.4,1163.0,1086.1,1129.0,1563038324.2,ACTION CONST EQUIP LTD,Capital Goods,Cash Only,20260911,1126.0333333333333,1124.55,1127.5166666666667,1127.5166666666667,1124.55,2.966666666666697,0.26276941245940627,Moderate,Bullish,Above CPR,False,False,0.1320754716981132,53,1066714676.0,True,True,Overlapping,True,Risk Off,True,None,75.8321428571429,962.395,,0.039121493273050194,1.4652824784047502,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACEINTEG,20260911,18.58,18.58,17.16,17.62,132732.5,ACE INTEGRATED SOLU. LTD.,Diversified,Cash Only,20260911,17.786666666666665,17.869999999999997,17.703333333333333,17.869999999999997,17.703333333333333,0.1666666666666643,0.9458948164963921,Wide,Bearish,Below CPR,False,False,0.3584905660377358,53,451081.08999999997,True,True,Lower,True,Risk Off,False,None,2.2292857142857136,20.128,,0.07476236249065367,0.2942541883101329,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACGL,20260911,1799.0,1961.9,1702.0,1785.7,8444259.7,AUTOMOBILE CORPN OF GOA L,Diversified,Cash Only,20260911,1816.5333333333335,1831.95,1801.116666666667,1831.95,1801.116666666667,30.83333333333303,1.7266804801104905,Wide,Bearish,Below CPR,False,False,1.0,4,7053258.0,False,False,Higher,False,Risk Off,False,None,,,,,1.1972140675982643,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACI,20260911,504.4,513.6,461.6,470.45,1012179197.35,ARCHEAN CHEMICAL IND LTD,Diversified,Cash Only,20260911,481.8833333333334,487.6,476.16666666666674,487.6,476.16666666666674,11.43333333333328,2.430297233145559,Wide,Bearish,Below CPR,False,False,0.9056603773584906,53,384003186.20000005,False,False,Lower,True,Risk Off,False,None,40.58571428571429,559.972,,0.28170831866713464,2.635861455646432,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ACL,20260911,43.36,43.99,41.5,42.7,3606841.65,ANDHRA CEMENTS LIMITED,Diversified,Cash Only,20260911,42.73,42.745000000000005,42.71499999999999,42.745000000000005,42.71499999999999,0.030000000000015348,0.07025761124125374,Narrow,Bearish,Below CPR,False,True,0.024390243902439025,41,4447717.19,True,True,Lower,True,Risk Off,True,None,2.8271428571428565,,,0.010611419909050403,0.8109422195524081,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
