TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-02,2026-09-02,CM,NSE,STK,3339,INE660A01013,SUNDARMFIN,EQ,,,,,SUNDARAM FINANCE LTD,4539.0,4614.9,4525.0,4557.2,4554.9,4540.1,,4557.2,,,35627,162547018.9,12515,F1,1,,,,,,Cash Only,Financial Services,True,4565.7,4569.95,4561.45,4569.95,4561.45,8.5,0.18651803739138068,Narrow,Bearish,Below CPR,False,True,0.03333333333333333,60,220747433.25,False,False,Higher,True,Risk Off,True,None,95.8857142857142,4547.884,4546.138999999999,0.088647199046484,0.7363483982887942,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,16395,INE511Y01018,MMP,EQ,,,,,MMP INDUSTRIES LIMITED,373.0,393.05,373.0,384.1,387.1,383.25,,384.1,,,61096,23439801.1,1822,F1,1,,,,,,Cash Only,Diversified,False,383.3833333333334,383.025,383.7416666666668,383.7416666666668,383.025,0.7166666666668107,0.18658335502910978,Narrow,Bullish,Above CPR,True,False,0.43333333333333335,60,13647778.875,False,False,Lower,True,Risk Off,False,None,24.717857142857135,316.578,291.828,0.02899388335019608,1.7174810139206627,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,20261,INE202E01016,IREDA,EQ,,,,,INDIAN RENEWABLE ENERGY,113.65,113.68,112.05,112.55,112.55,114.2,,112.54,,,4711096,530471872.32,31096,F1,1,,,,,,F&O + Cash,Financial Services,True,112.76,112.86500000000001,112.655,112.86500000000001,112.655,0.21000000000000796,0.1865837405597583,Narrow,Bearish,Below CPR,False,True,0.75,60,503242689.72,False,False,Lower,True,Risk Off,False,Bearish Virgin,2.297857142857143,121.00319999999999,124.9584,0.09138949331675819,1.054107457805597,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,-2,-2
2026-09-02,2026-09-02,CM,NSE,STK,24386,INE0B9K01025,BANSALWIRE,EQ,,,,,BANSAL WIRE INDUSTRIES L,316.1,321.6,316.1,319.75,321.2,319.75,,319.7,,,39275,12534331.15,2848,F1,1,,,,,,Cash Only,Diversified,False,319.15000000000003,318.85,319.45000000000005,319.45000000000005,318.85,0.6000000000000227,0.18764659890540195,Narrow,Bullish,Above CPR,True,False,0.38333333333333336,60,33781229.475,False,False,Higher,True,Risk Off,False,None,7.5857142857142845,324.488,315.1217,0.07909604519774312,0.37104425578341094,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,1663,INE209A01019,SUNDROP,EQ,,,,,SUNDROP BRANDS LIMITED,658.05,658.1,645.8,653.8,653.1,655.55,,653.81,,,6378,4166630.2,680,F1,1,,,,,,Cash Only,Diversified,False,652.5666666666667,651.95,653.1833333333334,653.1833333333334,651.95,1.2333333333333485,0.18864076679922737,Narrow,Bullish,Above CPR,True,False,0.7,60,9456359.225000001,False,False,Lower,True,Risk Off,False,Bearish Virgin,15.39642857142856,655.673,658.431,0.08010515734941727,0.4406167427506964,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,765190,INE010C01025,SWISSMLTRY,EQ,,,,,SWISS MILITARY CON GOOD L,15.99,16.36,15.51,15.89,16.2,15.93,,15.88,,,51395,817137.81,300,F1,1,,,,,,Cash Only,Diversified,False,15.92,15.934999999999999,15.905000000000001,15.934999999999999,15.905000000000001,0.029999999999997584,0.18879798615479912,Narrow,Bearish,Below CPR,False,True,0.5,12,2541599.6950000003,False,False,Lower,False,Risk Off,False,Bearish Virgin,,,,,0.3215053147856157,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,5610,INE203A01020,ASTRAZEN,EQ,,,,,ASTRAZENECA PHARMA IND LT,6930.0,6940.0,6835.0,6868.0,6860.0,6917.0,,6868.11,,,4789,32866384.0,1933,F1,1,,,,,,Cash Only,Diversified,False,6881.0,6887.5,6874.5,6887.5,6874.5,13.0,0.18928363424577752,Narrow,Bearish,Below CPR,False,True,0.36666666666666664,60,45325283.5,False,False,Lower,True,Risk Off,False,Bearish Virgin,168.85714285714286,7927.89,8205.305,0.07698815566835872,0.725122524605941,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,9552,INE415G01027,RVNL,EQ,,,,,RAIL VIKAS NIGAM LIMITED,207.0,207.0,203.83,206.0,206.0,208.38,,206.0,,,3795701,779603834.34,43916,F1,1,,,,,,F&O + Cash,Construction,True,205.61,205.41500000000002,205.805,205.805,205.41500000000002,0.38999999999998636,0.18932038834950793,Narrow,Bullish,Above CPR,True,False,0.7666666666666667,60,974754936.62,False,False,Lower,True,Risk Off,False,Bearish Virgin,5.061428571428564,227.65619999999998,249.5665,0.07705334462319809,0.799794702290307,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,762563,INE704G01024,BAJAJST,EQ,,,,,BAJAJ STEEL INDS. LTD.,355.0,355.0,347.0,352.0,352.0,351.55,,351.92,,,5216,1828707.75,237,F1,1,,,,,,Cash Only,Diversified,False,351.3333333333333,351.0,351.66666666666663,351.66666666666663,351.0,0.6666666666666288,0.18939393939392862,Narrow,Bullish,Above CPR,True,False,0.7666666666666667,60,4428091.0,False,False,Lower,True,Risk Off,False,None,12.232142857142852,386.093,,0.05450121654500909,0.4129788096044097,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,17400,INE848E01016,NHPC,EQ,,,,,NHPC LTD,75.75,76.64,75.09,75.65,75.65,76.3,,75.65,,,13055359,991229668.83,63394,F1,1,,,,,,F&O + Cash,Power,True,75.79333333333334,75.86500000000001,75.72166666666666,75.86500000000001,75.72166666666666,0.14333333333334508,0.18946904604539996,Narrow,Bearish,Below CPR,False,True,0.03333333333333333,60,859655744.185,True,True,Inside,True,Risk Off,True,None,1.3242857142857147,78.3922,78.5142,0.10823444804028212,1.1530542028422543,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
