SYMBOL,Industry,CLOSE,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
LICHSGFIN,Financial Services,568.0,548.0333333333333,547.8,0.042567423758706285,0.21666666666666667,Higher,Long,Bullish,F&O + Cash,2,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.18x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk On
SAILIFE,Healthcare,1608.0,1594.3666666666668,1582.1,0.7664271581797487,0.15,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.00x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
DHAMPURSUG,Diversified,162.29,155.5816666666667,154.305,0.8172235735928174,0.08333333333333333,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.42x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
MAXESTATES,Real Estate & Infra,597.9,591.0,585.0,1.0101010101010102,0.2,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (4.15x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
GILLETTE,Fast Moving Consumer Goods,7048.0,7185.75,7110.583333333334,1.0627268014515208,0.18333333333333332,Lower,Short,Bearish,Cash Only,-2,Short,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (4.35x) (20/20); Higher timeframe: aligned (-2) (16/20),Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,Risk On
MEDANTA,Healthcare,1508.1,1491.2666666666664,1475.0,1.0848783958027493,0.23333333333333334,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.60x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
WESTLIFE,Diversified,564.1,561.2999999999998,555.1,1.098511693834128,0.16666666666666666,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.27x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
WELSPLSOL,Diversified,55.74,55.30333333333334,54.61,1.245882000598998,0.23333333333333334,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.32x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
JSWINFRA,Services,349.6,346.0083333333333,341.525,1.287389327590337,0.13333333333333333,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.65x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
ACMESOLAR,Power,458.1,432.20000000000005,426.1,1.4014933946008092,0.11666666666666667,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (5.54x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
CAPLIPOINT,Healthcare,2756.6,2728.4000000000005,2688.0,1.4698391908608217,0.21666666666666667,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.03x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
