SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
ADOR,20260831,1480.0,1766.4,1461.2,1705.2,2037431210.3,ADOR WELDING LTD,20260831,1644.2666666666667,1613.8000000000002,1674.7333333333331,1674.7333333333331,1613.8000000000002,60.93333333333294,3.5733833763390184,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.7692307692307693,13,473199626.4,Higher,True,Risk Off,False,,,,,4.305648391568552,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADROITINFO,20260831,9.99,10.99,9.3,10.3,6715793.34,ADROIT INFOTECH LIMITED,20260831,10.196666666666667,10.145,10.248333333333335,10.248333333333335,10.145,0.10333333333333528,1.0032362459547113,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.3076923076923077,13,10161098.52,Higher,True,Risk Off,False,,,,,0.6609318201945747,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADSL,20260831,120.0,120.0,103.55,105.19,221842166.03,ALLIED DIGITAL SERV. LTD,20260831,109.58,111.775,107.38499999999999,111.775,107.38499999999999,4.390000000000015,4.173400513356797,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.46153846153846156,13,507039324.35,Lower,True,Risk Off,False,,,,,0.43752457723943006,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADVAIT,20260831,2340.0,2442.0,2053.0,2170.7,3307239172.5,ADVAIT ENRGY TRANSITION L,20260831,2221.9,2247.5,2196.3,2247.5,2196.3,51.19999999999982,2.3586861381121214,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.625,8,2340132083.2,Overlapping,True,Risk Off,False,,,,,1.4132703005283083,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADVANCE,20260831,126.26,141.5,112.51,116.42,1371105776.33,ADVANCE AGROLIFE LIMITED,20260831,123.47666666666667,127.005,119.94833333333335,127.005,119.94833333333335,7.0566666666666436,6.0613869323712795,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.9090909090909091,11,1019066169.22,Overlapping,True,Risk Off,False,,,,,1.3454531391022952,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADVANIHOTR,20260831,51.13,53.6,49.0,49.86,38565401.01,ADVANI HOT.& RES.(I) LTD,20260831,50.81999999999999,51.3,50.33999999999999,51.3,50.33999999999999,0.960000000000008,1.9253910950662014,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5384615384615384,13,39704472.03,Lower,True,Risk Off,False,,,,,0.9713112664200814,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADVENTHTL,20260831,148.1,149.75,130.05,138.95,559878374.34,ADVENT HOTELS INTERNATI L,20260831,139.58333333333334,139.9,139.26666666666668,139.9,139.26666666666668,0.6333333333333258,0.4557994482427678,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.1,10,637432714.72,Lower,True,Risk Off,True,,,,,0.8783332913591254,False,False,Short,Sep 2026,Monthly,0,-2,0,0
ADVENZYMES,20260831,334.0,343.0,291.05,294.1,2376245750.1,ADVANCED ENZYME TECH LTD,20260831,309.3833333333333,317.025,301.7416666666667,317.025,301.7416666666667,15.283333333333303,5.196645132041245,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.7692307692307693,13,2000806372.35,Outside,True,Risk Off,False,,,,,1.1876440333949139,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADVIKCA,20260831,1.15,1.27,1.12,1.16,3096419.36,ADVIK CAPITAL LTD.,20260831,1.1833333333333333,1.195,1.1716666666666666,1.195,1.1716666666666666,0.023333333333333428,2.0114942528735713,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,1,3096419.36,Unknown,False,Risk Off,False,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AEGISLOG,20260831,1286.5,1497.8,1241.5,1264.6,30704080916.0,AEGIS LOGISTICS LIMITED,20260831,1334.6333333333334,1369.65,1299.6166666666668,1369.65,1299.6166666666668,70.0333333333333,5.537983024935419,Wide,Bearish,Below CPR,Oil Gas & Consumable Fuels,True,False,False,0.8461538461538461,13,13257109267.5,Higher,True,Risk Off,False,,,,,2.3160464545066026,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AEGISVOPAK,20260831,293.0,306.55,258.3,268.75,5292822734.0,AEGIS VOPAK TERMINALS LTD,20260831,277.8666666666667,282.425,273.30833333333334,282.425,273.30833333333334,9.116666666666674,3.3922480620155064,Wide,Bearish,Below CPR,Oil Gas & Consumable Fuels,True,False,False,0.6923076923076923,13,4409247868.5,Inside,True,Risk Off,False,,,,,1.200391289365319,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AEPL,20260831,14.21,17.42,13.3,15.05,30567877.07,ARTEMIS ELECTRICALS & P L,20260831,15.256666666666668,15.360000000000001,15.153333333333334,15.360000000000001,15.153333333333334,0.206666666666667,1.373200442967887,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5,6,7939791.83,Inside,True,Risk Off,False,,,,,3.849959510840223,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AEQUS,20260831,229.7,271.21,228.2,244.34,16527058054.02,AEQUS LIMITED,20260831,247.91666666666666,249.70499999999998,246.12833333333333,249.70499999999998,246.12833333333333,3.576666666666654,1.4638072631033208,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.2222222222222222,9,16527058054.02,Higher,True,Risk Off,True,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
AEROENTER,20260831,121.22,149.0,120.81,138.45,2096935707.5900002,AEROFLEX ENTERPRISES LTD,20260831,136.08666666666667,134.905,137.26833333333335,137.26833333333335,134.905,2.363333333333344,1.7069941013603065,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.3076923076923077,13,597200451.05,Higher,True,Risk Off,False,,,,,3.5112761618032278,False,False,No setup,Sep 2026,Monthly,0,0,0,0
