SYMBOL,Industry,CLOSE,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
GNA,Diversified,620.45,589.7,575.8,2.3296740132406084,0.16666666666666666,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (27.07x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
PREMIERPOL,Diversified,100.51,94.20666666666668,89.18,5.19713261648746,0.21666666666666667,Higher,Long,Bullish,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (30.34x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk On
SANGHVIMOV,Diversified,446.45,441.0333333333333,439.6,0.3244670816826894,0.05,Higher,Long,Bullish,Cash Only,2,Long,80,Strong confirmation,CPR width: 0.3245% (12/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: confirmed (1.16x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
JKCEMENT,Construction Materials,5184.5,5084.166666666666,5082.5,0.03277613897081731,0.15,Higher,Long,Bullish,Cash Only,2,Long,76,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.06x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk On
BLUECLOUDS,Diversified,20.06,19.695,19.625,0.35478966041561216,0.07407407407407407,Higher,Long,Bullish,Cash Only,2,Long,68,Confirmed,CPR width: 0.3548% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.93x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
GILLETTE,Fast Moving Consumer Goods,7118.5,7076.5,7041.5,0.493374682830561,0.25,Higher,Long,Bullish,Cash Only,2,Long,68,Confirmed,CPR width: 0.4934% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.05x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
ACI,Diversified,491.4,473.2416666666668,470.525,0.5724118555977267,0.2,Higher,Long,Bullish,Cash Only,2,Long,68,Confirmed,CPR width: 0.5724% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.69x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
AEROENTER,Diversified,126.86,126.225,125.655,0.45055726820013686,0.15,Higher,Long,Bullish,Cash Only,2,Long,64,Mixed,CPR width: 0.4506% (12/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: light (0.73x) (4/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
IVALUE,Diversified,234.43,231.85500000000002,229.425,1.042605225897802,0.016666666666666666,Higher,Long,Bullish,Cash Only,2,Long,64,Mixed,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.12x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation confirmed,Risk On
GOCOLORS,Diversified,318.35,317.025,315.975,0.3306565895134481,0.08333333333333333,Higher,Long,Bullish,Cash Only,2,Long,52,Mixed,CPR width: 0.3307% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.53x) (4/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk On
JAYBARMARU,Diversified,121.9,114.77,112.11,2.2911283376399627,0.05,Higher,Long,Bullish,Cash Only,2,Long,48,Weak confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.52x) (4/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation light,Risk On
