TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Triple_Confluence,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-01,2026-09-01,CM,NSE,STK,7091,INE955I01044,SEJALLTD,EQ,,,,,SEJAL GLASS LIMITED,710.55,714.95,671.65,675.3,679.85,707.0,,675.49,,,9707,6636550.4,766,F1,1,,,,,,Cash Only,Diversified,False,687.2999999999998,693.3,681.2999999999997,693.3,681.2999999999997,12.000000000000227,1.7769880053309979,Wide,Bearish,Below CPR,False,False,0.8,60,6125310.824999999,False,False,Higher,True,Risk Off,False,None,26.260714285714293,583.7769999999999,655.972,0.45695634434925375,1.0834634501996887,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,14260,INE940H01022,PGIL,EQ,,,,,PEARL GLOBAL IND LIMITED,2470.0,2482.0,2339.0,2348.0,2350.0,2463.8,,2348.03,,,67346,160811321.0,10707,F1,1,,,,,,Cash Only,Diversified,False,2389.6666666666665,2410.5,2368.833333333333,2410.5,2368.833333333333,41.66666666666697,1.7745599091425455,Wide,Bearish,Below CPR,False,False,0.95,60,142752911.6,False,False,Higher,True,Risk Off,False,Bullish Virgin,81.44999999999995,2153.602,1879.4270000000001,0.5115612850419521,1.1265011634270583,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,-2,0,-2
2026-09-01,2026-09-01,CM,NSE,STK,25023,INE336H01023,GAYAPROJ,EQ,,,,,GAYATRI PROJECTS LTD,21.8,21.89,20.59,20.69,20.59,21.63,,20.71,,,400454,8426042.22,1436,F1,1,,,,,,Cash Only,Diversified,False,21.05666666666667,21.240000000000002,20.873333333333335,21.240000000000002,20.873333333333335,0.36666666666666714,1.7721926856774632,Wide,Bearish,Below CPR,False,False,1.0,1,9659236.87,False,False,Unknown,False,Risk Off,False,None,,,,,0.8723300125468402,False,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,29590,INE03CC01015,JUBLCPL,EQ,,,,,JUBILANT AGRI N CON PRO L,2332.2,2369.9,2191.5,2222.0,2215.0,2315.4,,2221.99,,,17415,39676444.8,1799,F1,1,,,,,,Cash Only,Diversified,False,2261.133333333333,2280.7,2241.5666666666666,2280.7,2241.5666666666666,39.13333333333321,1.7611761176117557,Wide,Bearish,Below CPR,False,False,0.9833333333333333,60,9691719.0,False,False,Higher,True,Risk Off,False,Bullish Virgin,171.15714285714293,2028.06,1910.535,0.22863979077984506,4.093850100276328,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,757614,INE0H9P01028,ARIS,EQ,,,,,ARISINFRA SOLUTIONS LTD,142.6,142.6,127.71,131.68,131.04,142.27,,131.68,,,5907678,776967876.12,42325,F1,1,,,,,,Cash Only,Diversified,False,133.99666666666667,135.155,132.83833333333334,135.155,132.83833333333334,2.316666666666663,1.7593155123531763,Wide,Bearish,Below CPR,False,False,0.9833333333333333,60,75616030.37,False,False,Lower,True,Risk Off,False,Bearish Virgin,5.7899999999999965,125.0258,125.12389999999999,0.4001151410477831,10.275174090972317,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,3292,INE0FHS01024,DEEPINDS,EQ,,,,,DEEP INDUSTRIES LIMITED,703.7,704.95,660.0,665.0,664.0,689.85,,664.95,,,333259,225980774.3,10934,F1,1,,,,,,Cash Only,Diversified,False,676.65,682.475,670.8249999999999,682.475,670.8249999999999,11.650000000000091,1.751879699248134,Wide,Bearish,Below CPR,False,False,0.8,60,120146601.725,False,False,Outside,True,Risk Off,False,None,36.0607142857143,557.873,519.5564999999999,0.32306625730415217,1.8808752894837653,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,765282,INE0FOO01011,SHIPROCKET,EQ,,,,,SHIPROCKET LIMITED,140.49,143.22,132.33,134.25,133.0,138.89,,134.26,,,11319607,1535045147.62,52209,F1,1,,,,,,Cash Only,Diversified,False,136.6,137.775,135.42499999999998,137.775,135.42499999999998,2.3500000000000227,1.7504655493482477,Wide,Bearish,Below CPR,False,False,1.0,9,3148556763.58,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,0.4875392959009604,False,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,13740,INE635A01023,SHYAMTEL,EQ,,,,,SHYAM TELECOM LIMITED,12.16,12.65,12.02,12.02,12.02,13.35,,12.02,,,152990,1860090.1,413,F1,1,,,,,,Cash Only,Diversified,False,12.229999999999999,12.335,12.124999999999996,12.335,12.124999999999996,0.2100000000000044,1.7470881863561099,Wide,Bearish,Below CPR,False,False,0.3333333333333333,60,82410.48999999999,False,False,Lower,True,Risk Off,False,Bearish Virgin,1.6171428571428572,10.982999999999999,11.166699999999999,0.12985865724381898,22.571035556274452,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,-2,0,-2
2026-09-01,2026-09-01,CM,NSE,STK,17752,INE790G01031,SHILPAMED,EQ,,,,,SHILPA MEDICARE LTD,950.0,952.0,874.0,889.7,893.45,949.3,,889.68,,,2236296,2013270496.4,80249,F1,1,,,,,,Cash Only,Diversified,False,905.2333333333332,913.0,897.4666666666665,913.0,897.4666666666665,15.53333333333353,1.745906859990281,Wide,Bearish,Below CPR,False,False,1.0,60,581839669.6,False,False,Outside,True,Risk Off,False,None,31.44642857142858,690.43,580.3729999999999,0.4939617641491638,3.460180873854944,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,11961,INE617A01013,SEMAC,EQ,,,,,SEMAC CONSTRUCTION LTD,281.0,292.35,276.4,292.0,292.0,281.95,,292.0,,,103,29347.55,15,F1,1,,,,,,Cash Only,Diversified,False,286.9166666666667,284.375,289.45833333333337,289.45833333333337,284.375,5.083333333333371,1.7408675799086888,Wide,Bullish,Above CPR,False,False,0.2833333333333333,60,238474.64,False,False,Outside,True,Risk Off,False,None,19.792857142857137,286.4552,270.85900000000004,0.25682665704318736,0.12306360961484206,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend aligned; participation light,0,0,0,0
