SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
ABB,20260710,6985.5,7107.0,6725.0,6836.0,7087786453.5,ABB INDIA LIMITED,Capital Goods,Cash Only,20260710,6889.333333333333,6916.0,6862.666666666666,6916.0,6862.666666666666,53.33333333333394,0.780183343085634,Wide,Bearish,Below CPR,False,False,0.5217391304347826,46,7107922356.25,False,False,Lower,True,Neutral,False,None,536.6071428571429,,,0.09938990571270218,0.9971671183588134,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABBOTINDIA,20260710,26070.0,27350.0,26025.0,27165.0,2195553985.0,ABBOTT INDIA LIMITED,Healthcare,Cash Only,20260710,26846.666666666668,26687.5,27005.833333333336,27005.833333333336,26687.5,318.33333333333576,1.171851033805764,Wide,Bullish,Above CPR,False,False,0.8695652173913043,46,1077633565.0,False,False,Higher,True,Neutral,False,None,1138.2142857142858,,,0.27967785796465017,2.0373845584514623,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABCAPITAL,20260710,402.3,410.7,384.0,408.3,7770621042.849999,ADITYA BIRLA CAPITAL LTD.,Financial Services,Cash Only,20260710,401.0,397.35,404.65,404.65,397.35,7.2999999999999545,1.7879010531471846,Wide,Bullish,Above CPR,False,False,0.8695652173913043,46,6946783175.625,False,False,Overlapping,True,Neutral,False,None,24.467857142857145,,,0.2983506057509834,1.1185927135477176,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABCOTS,20260710,221.72,221.72,206.0,209.94,24352899.369999997,A B COTSPIN INDIA LIMITED,Diversified,Cash Only,20260710,212.55333333333337,213.86,211.24666666666673,213.86,211.24666666666673,2.613333333333287,1.2448001016163128,Wide,Bearish,Below CPR,False,False,0.5238095238095238,42,47356424.599999994,True,True,Lower,True,Neutral,False,None,35.34714285714285,,,0.07393336836007361,0.5142470018735324,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABDL,20260710,655.15,711.7,645.05,648.75,4020674891.3,ALLIED BLEND N DISTILS L,Fast Moving Consumer Goods,Cash Only,20260710,668.5,678.375,658.625,678.375,658.625,19.75,3.044315992292871,Wide,Bearish,Below CPR,False,False,0.8478260869565217,46,1046327508.225,False,False,Higher,True,Neutral,False,None,57.54642857142859,,,0.34320114193508333,3.8426542929380796,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABFRL,20260710,62.69,63.5,57.79,60.02,1840256493.52,ADITYA BIRLA FASHION & RT,Consumer Services,Cash Only,20260710,60.43666666666667,60.644999999999996,60.22833333333334,60.644999999999996,60.22833333333334,0.4166666666666572,0.6942130400977293,Moderate,Bearish,Below CPR,False,False,0.2391304347826087,46,1439010379.2150002,False,False,Lower,True,Neutral,True,None,5.173571428571428,,,0.08053753048920614,1.2788347604024128,False,False,Short,0.5,None,Week 13 Jul – 17 Jul 2026,Weekly
ABINFRA,20260710,10.97,11.99,10.01,10.28,237927225.42000002,A B INFRABUILD LIMITED,Real Estate & Infra,Cash Only,20260710,10.76,11.0,10.52,11.0,10.52,0.4800000000000004,4.669260700389109,Wide,Bearish,Below CPR,False,False,0.8636363636363636,44,83010401.36500001,False,False,Lower,True,Neutral,False,None,2.0071428571428567,,,0.23914590747330988,2.8662338876525197,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABLBL,20260710,98.1,98.4,93.21,95.55,374506401.46999997,ADITYA BIRLA LIFES BRAN L,Consumer Services,Cash Only,20260710,95.72000000000001,95.805,95.63500000000002,95.805,95.63500000000002,0.1699999999999875,0.17791732077445055,Narrow,Bearish,Below CPR,False,True,0.043478260869565216,46,679715331.585,True,True,Lower,True,Neutral,True,None,7.896428571428572,,,0.021528720036181136,0.5509753628724308,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABMINTLLTD,20260710,41.7,42.0,40.4,40.61,19140.260000000002,ABM INTERNATIONAL LTD,Diversified,Cash Only,20260710,41.00333333333334,41.2,40.80666666666667,41.2,40.80666666666667,0.39333333333333087,0.9685627513748605,Wide,Bearish,Below CPR,False,False,0.2857142857142857,21,188056.69,False,False,Lower,True,Neutral,False,None,6.114999999999999,,,0.06432270373398706,0.1017792028563302,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABMKNO,20260710,221.0,222.91,206.0,210.0,1962443.4100000001,A B M KNOWLEDGEWARE LTD.,Diversified,Cash Only,20260710,212.97,214.45499999999998,211.485,214.45499999999998,211.485,2.9699999999999704,1.4142857142857002,Wide,Bearish,Below CPR,False,False,0.5,12,2267448.42,True,False,Overlapping,True,Neutral,False,None,,,,,0.865485359089227,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ABREL,20260710,1416.8,1452.0,1335.6,1447.0,1009969260.2,ADITYA BIRLA REAL EST LTD,Realty,Cash Only,20260710,1411.5333333333335,1393.8,1429.266666666667,1429.266666666667,1393.8,35.46666666666715,2.4510481455886075,Wide,Bullish,Above CPR,False,False,0.8043478260869565,46,1313096431.05,False,False,Overlapping,True,Neutral,False,None,130.81428571428575,,,0.2711222743984602,0.7691508683733088,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACC,20260710,1400.4,1405.0,1332.0,1384.5,791471966.9,ACC LIMITED,Construction Materials,Cash Only,20260710,1373.8333333333333,1368.5,1379.1666666666665,1379.1666666666665,1368.5,10.666666666666515,0.7704345732514637,Wide,Bullish,Above CPR,False,False,0.5217391304347826,46,1384815801.85,False,False,Inside,True,Neutral,False,None,66.26428571428573,,,0.16097157845567658,0.5715359153489284,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACCELYA,20260710,1120.0,1130.9,1085.9,1108.9,38870221.3,ACCELYA SOLN INDIA LTD,Diversified,Cash Only,20260710,1108.5666666666668,1108.4,1108.7333333333336,1108.7333333333336,1108.4,0.3333333333334849,0.030059819039903048,Narrow,Bullish,Above CPR,True,False,0.021739130434782608,46,74963534.2,True,True,Lower,True,Neutral,True,None,52.80714285714286,,,0.006312277379506004,0.5185217281284478,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACE,20260710,990.4,1016.9,962.4,989.0,1105610133.5,ACTION CONST EQUIP LTD,Capital Goods,Cash Only,20260710,989.4333333333334,989.65,989.2166666666668,989.65,989.2166666666668,0.4333333333331666,0.04381530165148297,Narrow,Bearish,Below CPR,False,True,0.06521739130434782,46,871097721.45,True,True,Lower,True,Neutral,True,None,66.03214285714287,,,0.0065624605621335185,1.2692148151411056,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACEINTEG,20260710,21.44,22.89,20.21,21.01,1304090.05,ACE INTEGRATED SOLU. LTD.,Diversified,Cash Only,20260710,21.37,21.55,21.19,21.55,21.19,0.35999999999999943,1.7134697762969986,Wide,Bearish,Below CPR,False,False,0.5869565217391305,46,480737.145,False,False,Lower,True,Neutral,False,None,2.926428571428571,,,0.12301684159140816,2.712688344479809,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACI,20260710,540.0,540.05,518.5,527.45,182471773.6,ARCHEAN CHEMICAL IND LTD,Diversified,Cash Only,20260710,528.6666666666666,529.275,528.0583333333333,529.275,528.0583333333333,1.216666666666697,0.2306695737352729,Narrow,Bearish,Below CPR,False,True,0.043478260869565216,46,349679228.57500005,True,True,Lower,True,Neutral,True,None,40.19642857142857,,,0.030268029024138176,0.5218261729288362,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACL,20260710,49.5,51.69,48.95,49.15,4885322.84,ANDHRA CEMENTS LIMITED,Diversified,Cash Only,20260710,49.93,50.32,49.54,50.32,49.54,0.7800000000000011,1.586978636826045,Wide,Bearish,Below CPR,False,False,0.6363636363636364,33,4648365.8,False,False,Lower,True,Neutral,False,None,4.093571428571429,,,0.19054266271156892,1.0509764184221475,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
ACMESOLAR,20260710,384.0,388.9,361.5,377.0,2301114588.8,ACME SOLAR HOLDINGS LTD,Power,Cash Only,20260710,375.8,375.2,376.40000000000003,376.40000000000003,375.2,1.2000000000000455,0.31830238726791654,Moderate,Bullish,Above CPR,False,False,0.08695652173913043,46,1567789048.025,True,True,Lower,True,Neutral,True,None,30.092857142857138,,,0.03987657251364975,1.4677450334908235,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
