SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
QUINT,EQ,QUINT DIGITAL LTD.,38.2,42.4,33.45,38.7,7742,280196.8,20260422,38.18333333333333,37.925,38.44166666666666,38.44166666666666,37.925,0.5166666666666657,1.3350559862187743,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.3333333333333333,3,121902.35,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
PARAGMILK,EQ,PARAG MILK FOODS LTD.,220.26,232.4,217.65,229.62,1735346,392755752.93,20260422,226.5566666666667,225.025,228.0883333333334,228.0883333333334,225.025,3.0633333333333894,1.334088203698889,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.7333333333333333,60,175909348.485,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ALLTIME,EQ,ALL TIME PLASTICS LIMITED,235.0,248.0,232.66,235.62,439647,105875701.26,20260422,238.76,240.33,237.19,240.33,237.19,3.1399999999999864,1.3326542738307383,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.8166666666666667,60,13247788.91,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
JINDALPOLY,EQ,JINDAL POLY FILMS LIMITED,728.1,740.1,709.95,710.85,89364,64320432.7,20260422,720.3000000000001,725.0250000000001,715.575,725.0250000000001,715.575,9.450000000000044,1.3293943870014835,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.65,60,66284508.225,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
PATELRMART,EQ,PATEL RETAIL LIMITED,205.9,219.99,204.25,216.42,191825,41006872.32,20260422,213.5533333333333,212.12,214.98666666666665,214.98666666666665,212.12,2.8666666666666174,1.3245849120537,Wide,Bullish,Above CPR,Cash Only,Consumer & Retail,False,False,0.8333333333333334,60,18408660.795,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GTECJAINX,EQ,G-TEC JAINX EDUCATION LTD,20.14,20.16,19.34,20.15,591,11897.04,20260422,19.883333333333333,19.75,20.016666666666666,20.016666666666666,19.75,0.2666666666666657,1.3234077750206736,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.4666666666666667,60,57344.15,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
INCREDIBLE,EQ,INCREDIBLE INDUSTRIES LTD,36.97,36.99,35.5,35.54,969,34923.11,20260422,36.01,36.245000000000005,35.77499999999999,36.245000000000005,35.77499999999999,0.4700000000000131,1.3224535734384162,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.7166666666666667,60,187897.04,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NOVAAGRI,EQ,NOVA AGRITECH LIMITED,28.2,29.69,28.2,29.53,130691,3828613.79,20260422,29.14,28.945,29.335,29.335,28.945,0.3900000000000005,1.3206908228919765,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.7,60,4519323.915,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
IXIGO,EQ,LE TRAVENUES TECHNOLOGY L,182.88,186.0,177.8,178.37,1544040,279253118.84,20260422,180.72333333333336,181.9,179.5466666666667,181.9,179.5466666666667,2.353333333333296,1.3193548989927095,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.8666666666666667,60,316422539.025,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,109.27,111.39,103.75,105.49,521327,55427414.01,20260422,106.87666666666668,107.57,106.18333333333334,107.57,106.18333333333334,1.386666666666656,1.314500584573567,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.8333333333333334,60,26247902.055,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
