SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
JSL,EQ,JINDAL STAINLESS LIMITED,740.3,750.55,729.85,737.75,956510,707599601.0,20250930,792.9,733.95,737.7,754.85,763.425,746.2750000000001,763.425,746.2750000000001,17.149999999999864,2.324793276399602,Wide,Bearish,Below CPR,Cash Only,Metals & Mining,True,False,False,1.0,38,606233157.5,False,False,Lower,True,Risk Off,False,Bearish Virgin,23.099999999999973,,,0.7424242424242374,1.1672070262834477,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
TRIGYN,EQ,TRIGYN TECHNOLOGIES LTD,87.0,89.5,84.9,85.89,64293,5577720.02,20250930,91.6,85.06,85.38,87.34666666666665,88.33,86.3633333333333,88.33,86.3633333333333,1.966666666666697,2.303427812914848,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.972972972972973,38,2004606.92,False,False,Lower,True,Risk Off,False,Bearish Virgin,6.095000000000001,,,0.32266885425212416,2.782450746004608,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
DCMNVL,EQ,DCM NOUVELLE LIMITED,160.98,162.8,148.8,151.33,31942,4928072.98,20250930,166.95,155.0,155.62,159.19,160.975,157.405,160.975,157.405,3.569999999999993,2.2940496080195305,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,1964806.5899999999,False,False,Lower,True,Risk Off,False,Bearish Virgin,5.799285714285714,,,0.6155930533316899,2.5081720537185297,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
FOSECOIND,EQ,FOSECO INDIA LTD,5596.5,5639.5,5310.0,5358.0,8256,44871267.5,20250930,5979.0,5450.0,5524.5,5651.166666666667,5714.5,5587.833333333334,5714.5,5587.833333333334,126.66666666666606,2.29281684617008,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.8918918918918919,38,41533246.75,False,False,Lower,True,Risk Off,False,Bearish Virgin,205.71428571428572,,,0.6157407407407378,1.0803698485238216,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
SUPRAJIT,EQ,SUPRAJIT ENGINEERING LTD,461.65,473.3,459.0,462.8,171601,80063497.0,20250930,504.9,449.35,461.4,471.8833333333334,477.125,466.64166666666677,477.125,466.64166666666677,10.483333333333235,2.27207051004188,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,28327666.5,False,False,Lower,True,Risk Off,False,Bearish Virgin,19.91428571428571,,,0.5264227642276375,2.826335766131672,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
AERONEU,EQ,AEROFLEX NEU LIMITED,83.8,83.8,78.0,79.34,51119,4076119.88,20250930,86.97,80.12,80.83,82.64,83.545,81.735,83.545,81.735,1.8100000000000023,2.2392675986638655,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.875,17,2538606.03,False,False,Lower,False,Risk Off,False,Bearish Virgin,7.1707142857142845,,,0.25241557924096064,1.6056527999344585,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
TIIL,EQ,TECHNOCRAFT IND LTD,2237.0,2265.9,2180.0,2205.5,21304,47273891.6,20250930,2358.5,2150.5,2181.7,2230.233333333333,2254.5,2205.9666666666662,2254.5,2205.9666666666662,48.53333333333376,2.2245649417121403,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.972972972972973,38,25169367.7,False,False,Lower,True,Risk Off,False,Bearish Virgin,77.39285714285714,,,0.6271035225350001,1.8782311960899996,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
HILTON,EQ,HILTON METAL FORGING LTD,47.5,47.84,44.68,44.78,161309,7376105.98,20250930,50.64,46.57,47.04,48.083333333333336,48.605000000000004,47.56166666666667,48.605000000000004,47.56166666666667,1.0433333333333366,2.217970521541957,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,16,4072640.585,False,False,Lower,False,Risk Off,False,Bearish Virgin,2.423571428571429,,,0.43049415463208696,1.8111360003549148,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
CAPTRUST,EQ,CAPITAL TRUST LIMITED,40.95,40.95,37.5,37.63,28823,1102068.61,20250930,42.19,38.9,39.24,40.11000000000001,40.545,39.67500000000001,40.545,39.67500000000001,0.8699999999999903,2.217125382262972,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.9333333333333333,16,797681.71,False,False,Lower,False,Risk Off,False,Bearish Virgin,2.2628571428571433,,,0.38446969696969263,1.3815894186667514,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
PODDARMENT,EQ,PODDAR PIGMENTS LIMITED,270.15,271.25,265.05,265.45,4500,1209248.05,20250930,286.4,262.95,266.15,271.8333333333333,274.67499999999995,268.9916666666667,274.67499999999995,268.9916666666667,5.68333333333328,2.1353873129187604,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,1189199.3,False,False,Lower,True,Risk Off,False,Bearish Virgin,7.5035714285714255,,,0.7574171029668344,1.016859032796269,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
