Rank,SYMBOL,NAME,Industry,AUG_CLOSE,LTP,DAY_CHG_PCT,CATEGORY,UNIFIED_SCORE,Commentary,CPR_Class,CPR_Width,CPR_Width_Pct,Pivot,CPR_Bottom,CPR_Top,BC,TC,Bias,Price_Position,Current_Position_LTP,Value_Ratio,VALUE_in_Cr,Value_60d_in_Cr,SEP1_VALUE_in_Cr,Overlay,Nifty500,Setup,Regime
11,GLAND,GLAND PHARMA LIMITED,Healthcare,2885.8,2864.5,-0.74,Above CPR - Volume Strength,93.39,"strong 7.5x volume surge backed by monthly bullish structure. Consolidating above monthly CPR Top (₹2,846.18). Hold/buy on pullbacks holding above Pivot (₹2,806.57).",Wide,79.23,2.7456,2806.57,2766.95,2846.18,2766.95,2846.18,Bullish,Above CPR,Above CPR,7.49,5059.07,675.46,74.51,Higher,True,No setup,Risk Off
12,POWERINDIA,HITACHI ENERGY INDIA LTD,Capital Goods,33760.0,32640.0,-3.32,Narrow CPR - Breakout,92.23,"Ultra-tight Narrow CPR (0.21%) with 1.1x average volume. Currently testing below CPR Bottom (₹33,795.00). Due to tight compression, watch for a sharp reclaim above ₹33,865.00 for a false breakdown reversal or breakdown continuation below ₹33,795.00.",Narrow,70.0,0.2073,33830.0,33795.0,33865.0,33865.0,33795.0,Bearish,Below CPR,Below CPR,1.14,8530.97,7460.87,329.63,Higher,True,No setup,Risk Off
13,FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Chemicals,4693.5,4727.1,0.72,Narrow CPR - Breakout,91.3,"Narrow/Moderate CPR (0.36%) with strong 3.5x volume surge. Trading strong above monthly CPR Top (₹4,684.95) with +0.72% gain on Day 1. Look for bullish continuation above ₹4,684.95 with target expansion.",Moderate,17.1,0.3643,4676.4,4667.85,4684.95,4667.85,4684.95,Bullish,Above CPR,Above CPR,3.55,2337.86,657.81,41.92,Higher,True,No setup,Risk Off
14,SONACOMS,SONA BLW PRECISION FRGS L,Automobile and Auto Components,813.05,809.5,-0.44,Narrow CPR - Breakout,91.16,Narrow/Moderate CPR (0.58%) with 1.3x average volume. Oscillating inside the monthly CPR band (₹806.02 - ₹810.71). Wait for a decisive breakout above ₹810.71 or breakdown below ₹806.02.,Moderate,4.68,0.576,808.37,806.02,810.71,806.02,810.71,Bullish,Above CPR,Inside CPR,1.28,3545.79,2766.26,84.41,Higher,True,No setup,Risk Off
15,TVSMOTOR,TVS MOTOR COMPANY  LTD,Automobile and Auto Components,4341.3,4203.0,-3.19,Narrow CPR - Breakout,90.73,"Ultra-tight Moderate CPR (0.28%) with 1.4x average volume. Currently testing below CPR Bottom (₹4,323.00). Due to tight compression, watch for a sharp reclaim above ₹4,335.20 for a false breakdown reversal or breakdown continuation below ₹4,323.00.",Moderate,12.2,0.281,4329.1,4323.0,4335.2,4323.0,4335.2,Bullish,Above CPR,Below CPR,1.41,8573.81,6090.06,811.44,Higher,True,No setup,Risk Off
16,CHENNPETRO,CHENNAI PETROLEUM CORP LT,Oil Gas & Consumable Fuels,1367.4,1385.5,1.32,Narrow CPR - Breakout,89.85,"Narrow/Moderate CPR (0.60%) with above-average 2.4x volume. Trading strong above monthly CPR Top (₹1,363.27) with +1.32% gain on Day 1. Look for bullish continuation above ₹1,363.27 with target expansion.",Moderate,8.27,0.6046,1359.13,1355.0,1363.27,1355.0,1363.27,Bullish,Above CPR,Above CPR,2.43,7304.69,3007.19,309.08,Higher,True,No setup,Risk Off
17,TATATECH,TATA TECHNOLOGIES LIMITED,Information Technology,831.05,815.25,-1.9,Narrow CPR - Breakout,88.83,Moderate CPR (0.93%) with strong 3.0x volume surge. Trading below monthly CPR Bottom (₹819.50) (-1.90%). Needs a clear close above Pivot (₹823.35) to reverse bearish pressure.,Wide,7.7,0.9265,823.35,819.5,827.2,819.5,827.2,Bullish,Above CPR,Below CPR,3.03,4049.8,1335.69,149.88,Higher,True,No setup,Risk Off
18,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,Financial Services,2978.1,2905.0,-2.45,Narrow CPR - Breakout,88.69,"Narrow/Moderate CPR (0.43%) with above-average 1.9x volume. Currently testing below CPR Bottom (₹2,958.75). Due to tight compression, watch for a sharp reclaim above ₹2,971.65 for a false breakdown reversal or breakdown continuation below ₹2,958.75.",Moderate,12.9,0.4332,2965.2,2958.75,2971.65,2958.75,2971.65,Bullish,Above CPR,Below CPR,1.9,8882.72,4679.04,220.06,Lower,True,No setup,Risk Off
19,LTM,LTM LIMITED,Information Technology,4540.0,4625.0,1.87,Narrow CPR - Breakout,88.08,"Moderate CPR (1.15%) with 1.3x average volume. Trading strong above monthly CPR Top (₹4,618.05) with +1.87% gain on Day 1. Look for bullish continuation above ₹4,618.05 with target expansion.",Wide,52.03,1.1461,4592.03,4566.02,4618.05,4618.05,4566.02,Bearish,Below CPR,Above CPR,1.28,4511.31,3510.86,121.93,Higher,True,No setup,Risk Off
20,MOREPENLAB,MOREPEN LAB. LTD,Unclassified,107.16,104.45,-2.53,Above CPR - Volume Strength,87.95,massive 21.7x volume explosion backed by monthly bullish structure. Consolidating above monthly CPR Top (₹99.16). Hold/buy on pullbacks holding above Pivot (₹91.15).,Wide,16.01,14.9403,91.15,83.14,99.16,83.14,99.16,Bullish,Above CPR,Above CPR,21.74,6341.86,291.72,261.44,Higher,False,No setup,Risk Off
21,LTFOODS,LT FOODS LIMITED,Fast Moving Consumer Goods,446.55,437.9,-1.94,Narrow CPR - Breakout,87.76,"Narrow/Moderate CPR (0.47%) with strong 4.6x volume surge. Currently testing below CPR Bottom (₹447.60). Due to tight compression, watch for a sharp reclaim above ₹449.70 for a false breakdown reversal or breakdown continuation below ₹447.60.",Moderate,2.1,0.4703,448.65,447.6,449.7,449.7,447.6,Bearish,Below CPR,Below CPR,4.58,2500.2,545.84,16.36,Higher,True,No setup,Risk Off
22,TITAN,TITAN COMPANY LIMITED,Consumer Durables,5102.4,5050.0,-1.03,Narrow CPR - Breakout,87.48,"Moderate CPR (1.09%) with 1.1x average volume. Oscillating inside the monthly CPR band (₹5,019.25 - ₹5,074.68). Wait for a decisive breakout above ₹5,074.68 or breakdown below ₹5,019.25.",Wide,55.43,1.0864,5046.97,5019.25,5074.68,5019.25,5074.68,Bullish,Above CPR,Inside CPR,1.12,8980.83,8009.78,235.54,Higher,True,No setup,Risk Off
23,SHILPAMED,SHILPA MEDICARE LTD,Unclassified,949.3,893.45,-5.88,Above CPR - Volume Strength,87.46,massive 14.8x volume explosion backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹782.05 - ₹893.55). Wait for a decisive breakout above ₹893.55 or breakdown below ₹782.05.,Wide,111.5,11.7455,837.8,782.05,893.55,782.05,893.55,Bullish,Above CPR,Inside CPR,14.85,5603.79,377.33,201.33,Higher,False,No setup,Risk Off
24,WELSPUNLIV,WELSPUN LIVING LIMITED,Textiles,196.21,198.0,0.91,Above CPR - Volume Strength,87.46,strong 4.8x volume surge backed by monthly bullish structure. Trading strong above monthly CPR Top (₹189.30) with +0.91% gain on Day 1. Look for bullish continuation above ₹189.30 with target expansion.,Wide,13.81,7.0401,182.4,175.49,189.3,175.49,189.3,Bullish,Above CPR,Above CPR,4.79,3771.92,786.75,101.18,Higher,True,No setup,Risk Off
25,RATNAVEER,RATNAVEER PRECISION ENG L,Unclassified,306.02,291.0,-4.91,Above CPR - Volume Strength,87.15,massive 10.1x volume explosion backed by monthly bullish structure. Consolidating above monthly CPR Top (₹287.24). Hold/buy on pullbacks holding above Pivot (₹268.45).,Wide,37.57,12.277,268.45,249.66,287.24,249.66,287.24,Bullish,Above CPR,Above CPR,10.06,5332.96,530.16,183.71,Higher,False,No setup,Risk Off
26,EMIL,ELECTRONICS MART IND LTD,Unclassified,180.61,178.0,-1.45,Above CPR - Volume Strength,87.02,massive 17.0x volume explosion backed by monthly bullish structure. Consolidating above monthly CPR Top (₹174.95). Hold/buy on pullbacks holding above Pivot (₹169.28).,Wide,11.33,6.2713,169.28,163.62,174.95,163.62,174.95,Bullish,Above CPR,Above CPR,17.04,5167.83,303.33,17.0,Higher,False,No setup,Risk Off
27,RBA,RESTAURANT BRAND ASIA LTD,Unclassified,98.1,100.72,2.67,Above CPR - Volume Strength,86.47,massive 10.6x volume explosion backed by monthly bullish structure. Trading strong above monthly CPR Top (₹95.09) with +2.67% gain on Day 1. Look for bullish continuation above ₹95.09 with target expansion.,Wide,6.02,6.1332,92.08,89.08,95.09,89.08,95.09,Bullish,Above CPR,Above CPR,10.55,4336.86,411.17,41.2,Higher,False,No setup,Risk Off
28,URBANCO,URBAN COMPANY LIMITED,Consumer Services,167.11,168.0,0.53,Above CPR - Volume Strength,86.45,strong 3.9x volume surge backed by monthly bullish structure. Trading strong above monthly CPR Top (₹163.18) with +0.53% gain on Day 1. Look for bullish continuation above ₹163.18 with target expansion.,Wide,7.86,4.7035,159.25,155.32,163.18,155.32,163.18,Bullish,Above CPR,Above CPR,3.86,6324.74,1639.64,165.21,Higher,True,No setup,Risk Off
29,LAURUSLABS,LAURUS LABS LIMITED,Healthcare,1915.0,1861.6,-2.79,Above CPR - Volume Strength,86.24,"strong 3.5x volume surge backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹1,859.20 - ₹1,896.40). Wait for a decisive breakout above ₹1,896.40 or breakdown below ₹1,859.20.",Wide,37.2,1.9426,1877.8,1859.2,1896.4,1859.2,1896.4,Bullish,Above CPR,Inside CPR,3.51,13166.17,3751.54,655.99,Higher,True,No setup,Risk Off
30,FMGOETZE,FEDERAL-MOGUL GOETZE (IND,Unclassified,624.85,624.95,0.02,Above CPR - Volume Strength,86.1,massive 76.0x volume explosion backed by monthly bullish structure. Trading strong above monthly CPR Top (₹597.69) with +0.02% gain on Day 1. Look for bullish continuation above ₹597.69 with target expansion.,Wide,54.32,8.6928,570.53,543.38,597.69,543.38,597.69,Bullish,Above CPR,Above CPR,75.98,3881.69,51.09,130.83,Higher,False,No setup,Risk Off
31,DATAPATTNS,DATA PATTERNS INDIA LTD,Capital Goods,4521.5,4520.0,-0.03,Narrow CPR - Breakout,86.03,"Moderate CPR (1.42%) with above-average 1.5x volume. Trading below monthly CPR Bottom (₹4,553.68) (-0.03%). Needs a clear close above Pivot (₹4,585.87) to reverse bearish pressure.",Wide,64.37,1.4236,4585.87,4553.68,4618.05,4618.05,4553.68,Bearish,Below CPR,Below CPR,1.5,8197.92,5470.45,189.11,Higher,True,No setup,Risk Off
32,NIACL,THE NEW INDIA ASSU CO LTD,Financial Services,191.23,184.8,-3.36,Above CPR - Volume Strength,85.9,strong 5.7x volume surge backed by monthly bullish structure. Trading below monthly CPR Bottom (₹185.66) (-3.36%). Needs a clear close above Pivot (₹187.51) to reverse bearish pressure.,Wide,3.72,1.9436,187.51,185.66,189.37,185.66,189.37,Bullish,Above CPR,Below CPR,5.67,1570.73,276.94,29.7,Higher,True,No setup,Risk Off
33,JSWINFRA,JSW INFRASTRUCTURE LTD,Services,340.0,335.0,-1.47,Narrow CPR - Breakout,85.53,Moderate CPR (1.04%) with above-average 2.0x volume. Oscillating inside the monthly CPR band (₹334.70 - ₹338.23). Wait for a decisive breakout above ₹338.23 or breakdown below ₹334.70.,Wide,3.53,1.0392,336.47,334.7,338.23,334.7,338.23,Bullish,Above CPR,Inside CPR,2.0,1819.78,907.98,85.5,Higher,True,No setup,Risk Off
34,JSWSTEEL,JSW STEEL LIMITED,Metals & Mining,1307.7,1313.5,0.44,Narrow CPR - Breakout,85.53,"Narrow/Moderate CPR (0.36%) with 1.1x average volume. Trading strong above monthly CPR Top (₹1,305.37) with +0.44% gain on Day 1. Look for bullish continuation above ₹1,305.37 with target expansion.",Moderate,4.67,0.3569,1303.03,1300.7,1305.37,1300.7,1305.37,Bullish,Above CPR,Above CPR,1.15,4840.09,4211.39,149.09,Higher,True,No setup,Risk Off
35,MANORAMA,MANORAMA INDUSTRIES LTD,Unclassified,1890.8,1830.0,-3.22,Above CPR - Volume Strength,85.48,"massive 11.2x volume explosion backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹1,815.95 - ₹1,865.85). Wait for a decisive breakout above ₹1,865.85 or breakdown below ₹1,815.95.",Wide,49.9,2.6391,1840.9,1815.95,1865.85,1815.95,1865.85,Bullish,Above CPR,Inside CPR,11.16,3693.48,331.01,41.17,Higher,False,No setup,Risk Off
36,KALYANKJIL,KALYAN JEWELLERS IND LTD,Consumer Durables,601.0,573.0,-4.66,Above CPR - Volume Strength,85.15,"strong 3.2x volume surge backed by monthly bullish structure. Currently testing below CPR Bottom (₹598.60). Due to tight compression, watch for a sharp reclaim above ₹600.20 for a false breakdown reversal or breakdown continuation below ₹598.60.",Moderate,1.6,0.2662,599.4,598.6,600.2,598.6,600.2,Bullish,Above CPR,Below CPR,3.23,16271.69,5044.2,767.85,Higher,True,No setup,Risk Off
37,MANYAVAR,VEDANT FASHIONS LIMITED,Unclassified,545.25,547.0,0.32,Above CPR - Volume Strength,84.86,massive 14.4x volume explosion backed by monthly bullish structure. Trading strong above monthly CPR Top (₹524.62) with +0.32% gain on Day 1. Look for bullish continuation above ₹524.62 with target expansion.,Wide,41.25,7.5653,504.0,483.38,524.62,483.38,524.62,Bullish,Above CPR,Above CPR,14.43,3027.2,209.71,11.35,Higher,False,No setup,Risk Off
38,TIINDIA,TUBE INVEST OF INDIA LTD,Automobile and Auto Components,2780.0,2763.2,-0.6,Narrow CPR - Breakout,84.77,"Moderate CPR (1.37%) with 1.3x average volume. Trading below monthly CPR Bottom (₹2,799.00) (-0.60%). Needs a clear close above Pivot (₹2,818.00) to reverse bearish pressure.",Wide,38.0,1.3669,2818.0,2799.0,2837.0,2837.0,2799.0,Bearish,Below CPR,Below CPR,1.32,2790.92,2111.76,26.64,Overlapping,True,No setup,Risk Off
39,HFCL,HFCL LIMITED,Telecommunication,249.09,236.64,-5.0,Above CPR - Volume Strength,84.32,strong 3.0x volume surge backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹226.20 - ₹241.46). Wait for a decisive breakout above ₹241.46 or breakdown below ₹226.20.,Wide,15.26,6.1263,233.83,226.2,241.46,226.2,241.46,Bullish,Above CPR,Inside CPR,3.04,9576.99,3155.27,309.4,Higher,True,No setup,Risk Off
40,GROWW,BILLIONBRAINS GARAGE VN L,Financial Services,192.06,189.3,-1.44,Narrow CPR - Breakout,84.25,Moderate CPR (1.60%) with 1.1x average volume. Trading below monthly CPR Bottom (₹193.59) (-1.44%). Needs a clear close above Pivot (₹195.13) to reverse bearish pressure.,Wide,3.07,1.5967,195.13,193.59,196.66,196.66,193.59,Bearish,Below CPR,Below CPR,1.08,18720.23,17374.42,484.57,Lower,True,Short,Risk Off
41,SBCL,SHIVALIK BIMETAL CON. LTD,Unclassified,1070.0,1043.0,-2.52,Above CPR - Volume Strength,84.25,"massive 20.3x volume explosion backed by monthly bullish structure. Consolidating above monthly CPR Top (₹1,022.01). Hold/buy on pullbacks holding above Pivot (₹974.02).",Wide,95.98,8.9704,974.02,926.02,1022.01,926.02,1022.01,Bullish,Above CPR,Above CPR,20.34,2438.2,119.86,32.75,Higher,False,No setup,Risk Off
42,360ONE,360 ONE WAM LIMITED,Financial Services,1175.0,1165.6,-0.8,Narrow CPR - Breakout,84.23,"Ultra-tight Moderate CPR (0.27%) with 1.1x average volume. Currently testing below CPR Bottom (₹1,176.58). Due to tight compression, watch for a sharp reclaim above ₹1,179.75 for a false breakdown reversal or breakdown continuation below ₹1,176.58.",Moderate,3.17,0.2695,1178.17,1176.58,1179.75,1179.75,1176.58,Bearish,Below CPR,Below CPR,1.11,2056.05,1857.02,252.11,Higher,True,No setup,Risk Off
43,ASHOKLEY,ASHOK LEYLAND LTD,Capital Goods,175.64,170.53,-2.91,Narrow CPR - Breakout,84.15,"Ultra-tight Narrow CPR (0.10%) with 1.0x average volume. Currently testing below CPR Bottom (₹175.73). Due to tight compression, watch for a sharp reclaim above ₹175.92 for a false breakdown reversal or breakdown continuation below ₹175.73.",Narrow,0.18,0.1044,175.82,175.73,175.92,175.92,175.73,Bearish,Below CPR,Below CPR,1.03,6630.0,6467.96,289.52,Higher,True,No setup,Risk Off
44,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,Unclassified,659.9,636.9,-3.49,Above CPR - Volume Strength,84.12,massive 12.4x volume explosion backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹608.35 - ₹642.72). Wait for a decisive breakout above ₹642.72 or breakdown below ₹608.35.,Wide,34.37,5.2079,625.53,608.35,642.72,608.35,642.72,Bullish,Above CPR,Inside CPR,12.36,2365.28,191.37,12.7,Higher,False,No setup,Risk Off
45,LENSKART,LENSKART SOLUTIONS LTD,Consumer Services,662.4,661.0,-0.21,Above CPR - Volume Strength,84.1,above-average 3.0x volume backed by monthly bullish structure. Consolidating above monthly CPR Top (₹647.30). Hold/buy on pullbacks holding above Pivot (₹632.20).,Wide,30.2,4.5592,632.2,617.1,647.3,617.1,647.3,Bullish,Above CPR,Above CPR,2.96,17634.88,5954.54,694.74,Higher,True,No setup,Risk Off
46,MOTISONS,MOTISONS JEWELLERS LTD,Unclassified,16.24,15.87,-2.28,Above CPR - Volume Strength,83.88,massive 17.0x volume explosion backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹15.60 - ₹16.03). Wait for a decisive breakout above ₹16.03 or breakdown below ₹15.60.,Wide,0.42,2.6067,15.82,15.6,16.03,15.6,16.03,Bullish,Above CPR,Inside CPR,17.02,2199.13,129.2,26.6,Higher,False,No setup,Risk Off
47,PVRINOX,PVR INOX LIMITED,Media Entertainment & Publication,1207.7,1226.4,1.55,Narrow CPR - Breakout,83.83,"Ultra-tight Narrow CPR (0.02%) with 1.3x average volume. Trading strong above monthly CPR Top (₹1,207.55) with +1.55% gain on Day 1. Look for bullish continuation above ₹1,207.55 with target expansion.",Narrow,0.3,0.0248,1207.4,1207.25,1207.55,1207.25,1207.55,Bullish,Above CPR,Above CPR,1.34,1079.03,802.59,103.08,Higher,True,No setup,Risk Off
48,HAL,HINDUSTAN AERONAUTICS LTD,Capital Goods,4801.6,4807.6,0.12,Narrow CPR - Breakout,83.81,"Moderate CPR (1.04%) with 1.2x average volume. Trading below monthly CPR Bottom (₹4,826.60) (+0.12%). Needs a clear close above Pivot (₹4,851.60) to reverse bearish pressure.",Wide,50.0,1.0413,4851.6,4826.6,4876.6,4876.6,4826.6,Bearish,Below CPR,Below CPR,1.17,11337.11,9707.62,236.39,Higher,True,No setup,Risk Off
49,VIYASH,VIYASH SCIENTIFIC LIMITED,Unclassified,263.6,262.35,-0.47,Narrow CPR - Breakout,83.67,"Ultra-tight Narrow CPR (0.09%) with strong 7.8x volume surge. Currently testing below CPR Bottom (₹263.25). Due to tight compression, watch for a sharp reclaim above ₹263.48 for a false breakdown reversal or breakdown continuation below ₹263.25.",Narrow,0.23,0.0885,263.37,263.25,263.48,263.25,263.48,Bullish,Above CPR,Below CPR,7.79,5138.0,659.35,162.19,Inside,False,No setup,Risk Off
50,IPCALAB,IPCA LABORATORIES LTD,Healthcare,1974.9,1983.5,0.44,Above CPR - Volume Strength,83.54,"strong 3.9x volume surge backed by monthly bullish structure. Trading strong above monthly CPR Top (₹1,927.67) with +0.44% gain on Day 1. Look for bullish continuation above ₹1,927.67 with target expansion.",Wide,94.47,4.7834,1880.43,1833.2,1927.67,1833.2,1927.67,Bullish,Above CPR,Above CPR,3.88,2723.92,701.38,42.82,Higher,True,No setup,Risk Off
51,WHIRLPOOL,WHIRLPOOL OF INDIA LTD,Consumer Durables,803.15,799.95,-0.4,Narrow CPR - Breakout,83.48,"Ultra-tight Narrow CPR (0.14%) with 1.4x average volume. Currently testing below CPR Bottom (₹803.72). Due to tight compression, watch for a sharp reclaim above ₹804.85 for a false breakdown reversal or breakdown continuation below ₹803.72.",Narrow,1.13,0.1411,804.28,803.72,804.85,804.85,803.72,Bearish,Below CPR,Below CPR,1.45,965.8,665.57,27.8,Higher,True,No setup,Risk Off
52,PERSISTENT,PERSISTENT SYSTEMS LTD,Information Technology,5594.5,5800.0,3.67,Narrow CPR - Breakout,83.43,"Ultra-tight Narrow CPR (0.24%) with 0.9x average volume. Trading strong above monthly CPR Top (₹5,614.75) with +3.67% gain on Day 1. Look for bullish continuation above ₹5,614.75 with target expansion.",Narrow,13.5,0.2413,5608.0,5601.25,5614.75,5614.75,5601.25,Bearish,Below CPR,Above CPR,0.94,5781.9,6166.3,340.89,Higher,True,No setup,Risk Off
53,VARROC,VARROC ENGINEERING LTD.,Unclassified,862.0,870.0,0.93,Above CPR - Volume Strength,83.14,massive 10.2x volume explosion backed by monthly bullish structure. Trading strong above monthly CPR Top (₹832.57) with +0.93% gain on Day 1. Look for bullish continuation above ₹832.57 with target expansion.,Wide,58.87,6.8291,803.13,773.7,832.57,773.7,832.57,Bullish,Above CPR,Above CPR,10.18,1960.37,192.52,79.59,Higher,False,No setup,Risk Off
54,ATHERENERG,ATHER ENERGY LIMITED,Automobile and Auto Components,1717.7,1725.6,0.46,Above CPR - Volume Strength,83.01,"above-average 2.7x volume backed by monthly bullish structure. Trading strong above monthly CPR Top (₹1,638.42) with +0.46% gain on Day 1. Look for bullish continuation above ₹1,638.42 with target expansion.",Wide,158.57,9.2313,1559.13,1479.85,1638.42,1479.85,1638.42,Bullish,Above CPR,Above CPR,2.74,17967.43,6564.56,1643.3,Higher,True,No setup,Risk Off
55,NEULANDLAB,NEULAND LAB LTD.,Healthcare,23010.0,23090.0,0.35,Above CPR - Volume Strength,82.8,"strong 3.2x volume surge backed by monthly bullish structure. Trading strong above monthly CPR Top (₹22,487.67) with +0.35% gain on Day 1. Look for bullish continuation above ₹22,487.67 with target expansion.",Wide,1044.67,4.5401,21965.33,21443.0,22487.67,21443.0,22487.67,Bullish,Above CPR,Above CPR,3.22,5129.08,1591.69,69.64,Higher,True,No setup,Risk Off
56,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,Unclassified,22.47,21.75,-3.2,Above CPR - Volume Strength,82.79,strong 9.9x volume surge backed by monthly bullish structure. Oscillating inside the monthly CPR band (₹21.45 - ₹22.13). Wait for a decisive breakout above ₹22.13 or breakdown below ₹21.45.,Wide,0.68,3.0263,21.79,21.45,22.13,21.45,22.13,Bullish,Above CPR,Inside CPR,9.9,2953.78,298.39,70.64,Higher,False,No setup,Risk Off
