SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
ABANSENT,20260814,26.0,30.38,26.0,30.38,1153120.31,ABANS ENTERPRISES LTD.,20260814,28.919999999999998,28.189999999999998,29.65,29.65,28.189999999999998,1.4600000000000009,4.805793285055961,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.75,4,1322362.135,Lower,False,Risk Off,False,,,,,0.872015523947228,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABB,20260814,7639.5,7825.0,7535.0,7649.0,6665195273.5,ABB INDIA LIMITED,20260814,7669.666666666667,7680.0,7659.333333333334,7680.0,7659.333333333334,20.66666666666606,0.2701878241164343,Moderate,Bearish,Below CPR,Capital Goods,True,False,False,0.2037037037037037,54,7186432206.75,Higher,True,Risk Off,True,541.5,6065.186,,0.03816558941212569,0.9274693035077382,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABBOTINDIA,20260814,27950.0,28635.0,27000.0,27060.0,2135902900.0,ABBOTT INDIA LIMITED,20260814,27565.0,27817.5,27312.5,27817.5,27312.5,505.0,1.8662232076866223,Wide,Bearish,Below CPR,Healthcare,True,False,False,0.9814814814814815,54,1077633565.0,Lower,True,Risk Off,False,1150.0,27791.1,,0.4391304347826087,1.9820307842768428,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABCAPITAL,20260814,405.0,412.85,400.55,401.0,4940778661.6,ADITYA BIRLA CAPITAL LTD.,20260814,404.8,406.70000000000005,402.9,406.70000000000005,402.9,3.800000000000068,0.9476309226932838,Wide,Bearish,Below CPR,Financial Services,True,False,False,0.5370370370370371,54,6946783175.625,Lower,True,Risk Off,False,21.796428571428567,344.784,,0.17434048828445342,0.7112326002827172,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABCOTS,20260814,201.4,206.33,198.51,199.0,5497787.37,A B COTSPIN INDIA LIMITED,20260814,201.28,202.42000000000002,200.14,202.42000000000002,200.14,2.2800000000000296,1.1457286432160954,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.46808510638297873,47,42359078.62,Overlapping,True,Risk Off,False,17.177142857142858,,,0.13273453093812546,0.12979006033913587,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABDL,20260814,598.5,638.0,591.1,599.45,1238889460.3,ALLIED BLEND N DISTILS L,20260814,609.5166666666667,614.55,604.4833333333333,614.55,604.4833333333333,10.066666666666606,1.6793171518336152,Wide,Bearish,Below CPR,Fast Moving Consumer Goods,True,False,False,0.5370370370370371,54,1052674003.4,Overlapping,True,Risk Off,False,49.417857142857166,560.7420000000001,,0.2037050420370491,1.176897554512174,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABFRL,20260814,61.7,61.8,55.66,55.98,3655961932.79,ADITYA BIRLA FASHION & RT,20260814,57.81333333333333,58.73,56.89666666666667,58.73,56.89666666666667,1.8333333333333286,3.2749791592235242,Wide,Bearish,Below CPR,Consumer Services,True,False,False,0.9444444444444444,54,1459959103.135,Lower,True,Risk Off,False,4.8357142857142845,69.7226,,0.3791235844411611,2.5041536608384978,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABINFRA,20260814,9.97,11.5,9.8,10.81,344373457.63,A B INFRABUILD LIMITED,20260814,10.703333333333333,10.65,10.756666666666666,10.756666666666666,10.65,0.10666666666666558,0.9867406722170728,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.3673469387755102,49,81928155.0,Higher,True,Risk Off,False,1.6928571428571428,,,0.06300984528832566,4.203359121537645,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABLBL,20260814,93.9,93.9,88.65,88.77,569858516.62,ADITYA BIRLA LIFES BRAN L,20260814,90.44,91.275,89.60499999999999,91.275,89.60499999999999,1.670000000000016,1.8812661935338697,Wide,Bearish,Below CPR,Consumer Services,True,False,False,0.7962962962962963,54,627120815.405,Lower,True,Risk Off,False,5.862857142857145,112.69059999999999,,0.2848440545808993,0.908690164034789,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
ABMINTLLTD,20260814,44.9,72.8,41.86,62.44,5445582.48,ABM INTERNATIONAL LTD,20260814,59.03333333333333,57.33,60.736666666666665,60.736666666666665,57.33,3.4066666666666663,5.455904334828101,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.9615384615384616,26,196688.43,Higher,True,Risk Off,False,7.925000000000002,,,0.42986330178759186,27.686338642288217,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
