TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Industry,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
2026-08-13,2026-08-13,CM,NSE,STK,708,INE715Y01031,SHRADHA,EQ,,,,,SHRADHA REALTY LIMITED,34.15,34.2,33.85,34.03,34.19,33.73,,34.03,,,16050,546370.92,106,F1,1,,,,,,Cash Only,34.02666666666667,34.025000000000006,34.028333333333336,34.028333333333336,34.025000000000006,0.0033333333333303,0.0097952786756694,Narrow,Bullish,Above CPR,True,False,Diversified,0.0169491525423728,59,517016.65,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,762834,INE291E01019,PML,EQ,,,,,PAUL MERCHANTS LTD.,488.0,511.85,488.0,500.0,505.0,495.75,,500.0,,,160,78484.25,20,F1,1,,,,,,Cash Only,499.95,499.925,499.975,499.975,499.925,0.0499999999999545,0.0099999999999909,Narrow,Bullish,Above CPR,True,False,Diversified,0.0508474576271186,59,158866.4,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,2275,INE01GN01025,IRISDOREME,EQ,,,,,IRIS CLOTHINGS LIMITED,56.74,58.3,56.7,57.51,57.74,56.83,,57.51,,,1574300,90945408.59,3609,F1,1,,,,,,Cash Only,57.50333333333333,57.5,57.50666666666666,57.50666666666666,57.5,0.0066666666666606,0.0115921868660417,Narrow,Bullish,Above CPR,True,False,Diversified,0.0508474576271186,59,16959533.35,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,29624,INE274Y01021,AJAXENGG,EQ,,,,,AJAX ENGINEERING LIMITED,567.35,569.55,561.15,565.45,565.0,566.0,,565.45,,,27572,15572457.2,2359,F1,1,,,,,,Cash Only,565.3833333333333,565.3499999999999,565.4166666666667,565.4166666666667,565.3499999999999,0.0666666666668334,0.0117900197483125,Narrow,Bullish,Above CPR,True,False,Diversified,0.0169491525423728,59,22738079.9,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,757515,INE0U4701011,DIGITIDE,EQ,,,,,DIGITIDE SOLUTIONS LTD,104.7,104.7,102.36,103.55,102.5,103.86,,103.56,,,140124,14493473.37,1597,F1,1,,,,,,Cash Only,103.53666666666668,103.53,103.54333333333336,103.54333333333336,103.53,0.0133333333333496,0.0128762272654269,Narrow,Bullish,Above CPR,True,False,Diversified,0.0338983050847457,59,23036383.44,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,14490,INE732C01016,NCLIND,EQ,,,,,NCL INDUSTRIES LIMITED,173.23,175.09,172.12,173.64,173.25,173.23,,173.65,,,31096,5399686.52,2422,F1,1,,,,,,Cash Only,173.61666666666667,173.60500000000002,173.62833333333333,173.62833333333333,173.60500000000002,0.0233333333333121,0.0134377639560654,Narrow,Bullish,Above CPR,True,False,Diversified,0.0508474576271186,59,8423570.07,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,4992,INE221J01015,SHARDACROP,EQ,,,,,SHARDA CROPCHEM LTD.,797.0,800.0,785.05,792.7,794.8,797.85,,792.67,,,142480,112978891.3,8100,F1,1,,,,,,Cash Only,792.5833333333334,792.525,792.6416666666668,792.6416666666668,792.525,0.1166666666667879,0.0147176317228192,Narrow,Bullish,Above CPR,True,False,Diversified,0.0169491525423728,59,162514859.95,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,758460,INE718I01012,JSWCEMENT,EQ,,,,,JSW CEMENT LIMITED,131.0,132.3,129.8,131.08,131.11,130.55,,131.08,,,1430731,187698177.8,17543,F1,1,,,,,,Cash Only,131.06000000000003,131.05,131.07000000000005,131.07000000000005,131.05,0.0200000000000386,0.0152578577967948,Narrow,Bullish,Above CPR,True,False,Construction Materials,0.0508474576271186,59,236322153.39,Inside,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,1808,INE217B01036,KAJARIACER,EQ,,,,,KAJARIA CERAMICS LTD,1259.0,1268.8,1252.4,1260.9,1256.0,1252.2,,1260.87,,,268471,338366092.8,20489,F1,1,,,,,,Cash Only,1260.7,1260.6,1260.8000000000002,1260.8000000000002,1260.6,0.2000000000002728,0.0158616860972537,Narrow,Bullish,Above CPR,True,False,Consumer Durables,0.0508474576271186,59,266990824.5,Higher,True,Long,True,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,13577,INE540H01012,VOLTAMP,EQ,,,,,VOLTAMP TRANSFORMERS LTD,10020.0,10089.5,9984.5,10039.5,10030.0,10007.0,,10039.46,,,7682,77045387.0,2698,F1,1,,,,,,Cash Only,10037.833333333334,10037.0,10038.666666666668,10038.666666666668,10037.0,1.666666666667879,0.0166010923518888,Narrow,Bullish,Above CPR,True,False,Diversified,0.0169491525423728,59,358000308.0,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,25634,INE122M01019,ESSARSHPNG,EQ,,,,,ESSAR SHIPPING LTD,19.74,19.8,19.31,19.56,19.6,19.57,,19.56,,,83732,1634904.9,576,F1,1,,,,,,Cash Only,19.55666666666667,19.555,19.558333333333337,19.558333333333337,19.555,0.0033333333333374,0.0170415814587802,Narrow,Bullish,Above CPR,True,False,Diversified,0.0677966101694915,59,3282403.6,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,1630,INE570A01022,IONEXCHANG,EQ,,,,,ION EXCHANGE (INDIA) LTD,377.0,382.25,372.55,377.5,377.0,376.85,,377.49,,,255830,96442373.95,11512,F1,1,,,,,,Cash Only,377.4333333333333,377.4,377.4666666666667,377.4666666666667,377.4,0.0666666666667197,0.0176600441501244,Narrow,Bullish,Above CPR,True,False,Diversified,0.0338983050847457,59,160649180.55,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,12022,INE132H01018,AURIONPRO,EQ,,,,,AURIONPRO SOLN LTD,718.0,749.5,718.0,733.95,734.95,718.75,,733.94,,,530328,389992431.6,17954,F1,1,,,,,,Cash Only,733.8166666666666,733.75,733.8833333333332,733.8833333333332,733.75,0.133333333333212,0.0181665417716754,Narrow,Bullish,Above CPR,True,False,Diversified,0.0169491525423728,59,102240724.5,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,760,INE067A01029,CGPOWER,EQ,,,,,CG POWER AND IND SOL LTD,892.0,894.5,878.05,886.55,886.55,888.0,,886.53,,,1373912,1214629528.95,28025,F1,1,,,,,,F&O + Cash,886.3666666666667,886.275,886.4583333333334,886.4583333333334,886.275,0.1833333333333939,0.020679412704686,Narrow,Bullish,Above CPR,True,False,Capital Goods,0.0338983050847457,59,3201634917.15,Higher,True,Long,True,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,28879,INE0V7W01012,CARRARO,EQ,,,,,CARRARO INDIA LIMITED,519.55,532.75,516.0,524.55,523.5,518.0,,524.5,,,112693,59275197.7,7618,F1,1,,,,,,Cash Only,524.4333333333333,524.375,524.4916666666666,524.4916666666666,524.375,0.1166666666665605,0.0222412861817864,Narrow,Bullish,Above CPR,True,False,Diversified,0.0338983050847457,59,59371291.45,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,21551,INE320X01016,HALEOSLABS,EQ,,,,,HALEOS LABS LIMITED,1494.0,1494.0,1455.0,1475.0,1487.4,1451.4,,1475.0,,,810,1193443.1,76,F1,1,,,,,,Cash Only,1474.6666666666667,1474.5,1474.8333333333337,1474.8333333333337,1474.5,0.3333333333334849,0.0225988700565074,Narrow,Bullish,Above CPR,True,False,Healthcare & Pharma,0.0169491525423728,59,1291338.7,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,20547,INF251K01SU9,BBNPPGOLD,EQ,,,,,BARODABNP - BBNPPGOLD,147.8,147.95,146.05,147.05,146.85,147.8,,147.07,,,3375,495082.8,116,F1,1,,,,,,Cash Only,147.01666666666668,147.0,147.03333333333336,147.03333333333336,147.0,0.0333333333333598,0.0226680267482896,Narrow,Bullish,Above CPR,True,False,Diversified,0.0508474576271186,59,605840.2,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,758558,INE227J01012,KALPATARU,EQ,,,,,KALPATARU LIMITED,285.65,290.0,285.6,287.9,287.0,285.65,,287.88,,,17373,4987623.7,622,F1,1,,,,,,Cash Only,287.8333333333333,287.8,287.8666666666666,287.8666666666666,287.8,0.066666666666606,0.0231561884913532,Narrow,Bullish,Above CPR,True,False,Diversified,0.0169491525423728,59,16520307.45,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,759929,INE0TY101024,SOLARWORLD,EQ,,,,,SOLARWORLD ENERGY SOL LTD,161.37,166.79,161.37,164.14,164.5,161.37,,164.14,,,256674,42256016.03,4663,F1,1,,,,,,Cash Only,164.1,164.07999999999998,164.12,164.12,164.07999999999998,0.0400000000000204,0.0243694407213479,Narrow,Bullish,Above CPR,True,False,Power & Utilities,0.0169491525423728,59,42256016.03,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,5394,INE0CT101020,MOL,EQ,,,,,MEGHMANI ORGANICS LIMITED,57.45,58.9,57.01,57.98,57.77,57.29,,57.97,,,1258893,73111207.01,7651,F1,1,,,,,,Cash Only,57.96333333333333,57.955,57.97166666666666,57.97166666666666,57.955,0.0166666666666657,0.02874554444061,Narrow,Bullish,Above CPR,True,False,Diversified,0.0508474576271186,59,30232992.01,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,10859,INE0JS101016,DREAMFOLKS,EQ,,,,,DREAMFOLKS SERVICES LTD,69.15,70.0,66.78,68.42,68.5,69.15,,68.46,,,58303,3975166.22,1689,F1,1,,,,,,Cash Only,68.39999999999999,68.39,68.40999999999998,68.40999999999998,68.39,0.0199999999999818,0.0292312189418032,Narrow,Bullish,Above CPR,True,False,Diversified,0.0677966101694915,59,3959453.22,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,17507,INE452L01012,INCREDIBLE,EQ,,,,,INCREDIBLE INDUSTRIES LTD,32.41,32.79,31.02,31.92,31.37,32.76,,31.92,,,3672,117370.33,82,F1,1,,,,,,Cash Only,31.91,31.905,31.915,31.915,31.905,0.009999999999998,0.0313283208019987,Narrow,Bullish,Above CPR,True,False,Diversified,0.0338983050847457,59,129505.57,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,2972,INE142Z01019,ORIENTELEC,EQ,,,,,ORIENT ELECTRIC LIMITED,190.0,192.55,187.81,190.27,190.7,189.79,,190.27,,,225471,42880332.37,4489,F1,1,,,,,,Cash Only,190.21,190.18,190.24,190.24,190.18,0.0600000000000022,0.0315341357018984,Narrow,Bullish,Above CPR,True,False,Diversified,0.0338983050847457,59,38325097.93,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,6278,INE646B01010,MEDICAMEQ,EQ,,,,,MEDICAMEN BIOTECH LIMITED,238.85,243.0,238.81,241.02,240.5,238.98,,241.02,,,5510,1326340.26,210,F1,1,,,,,,Cash Only,240.94333333333336,240.905,240.9816666666667,240.9816666666667,240.905,0.0766666666667106,0.0318092551102442,Narrow,Bullish,Above CPR,True,False,Healthcare & Pharma,0.0338983050847457,59,3625074.75,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,2277,INE883A01011,MRF,EQ,,,,,MRF LTD,131100.0,131345.0,130500.0,130985.0,131000.0,130785.0,,130985.62,,,2012,263563795.0,1504,F1,1,,,,,,Cash Only,130943.33333333331,130922.5,130964.16666666666,130964.16666666666,130922.5,41.666666666656965,0.0318102581720479,Narrow,Bullish,Above CPR,True,False,Automobile and Auto Components,0.0677966101694915,59,667724395.0,Overlapping,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,2048,INE09VQ01012,INDIGOPNTS,EQ,,,,,INDIGO PAINTS LIMITED,1113.7,1146.0,1113.7,1130.4,1121.0,1122.1,,1130.42,,,42425,48141441.6,4885,F1,1,,,,,,Cash Only,1130.0333333333333,1129.85,1130.2166666666667,1130.2166666666667,1129.85,0.3666666666667879,0.032436895494231,Narrow,Bullish,Above CPR,True,False,Diversified,0.0508474576271186,59,68228636.05,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
