TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score,JCurve_Stage,JCurve_Score,JCurve_Explanation
2026-08-28,2026-08-28,CM,NSE,STK,13251,INE190H01024,SAKUMA,EQ,,,,,SAKUMA EXPORTS LIMITED,1.71,1.73,1.69,1.71,1.72,1.71,,1.71,,,797283,1365585.4,767,F1,1,,,,,,Cash Only,Diversified,False,1.71,1.71,1.71,1.71,1.71,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.0333333333333333,60,2062468.975,Lower,True,Neutral,False,0.0821428571428571,1.6382,1.8103,0.0,0.6621119718903893,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,-2,-2,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,14445,INE308A01027,NAHARPOLY,EQ,,,,,NAHAR POLY FILMS LIMITED,246.05,248.9,245.8,247.35,246.05,246.55,,247.36,,,5711,1410682.8,122,F1,1,,,,,,Cash Only,Diversified,False,247.35,247.35,247.35,247.35,247.35,0.0,0.0,Narrow,Neutral,Below CPR,False,False,0.0166666666666666,60,2358161.475,Higher,True,Neutral,False,8.503571428571425,254.111,253.44480000000004,0.0,0.5982129786086849,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,2,2,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,25608,INE337M01021,INDOTHAI,EQ,,,,,INDO THAI SEC LTD,46.18,46.18,46.18,46.18,46.18,48.61,,46.18,,,276690,12777544.2,1006,F1,1,,,,,,Cash Only,Diversified,False,46.18,46.18,46.18,46.18,46.18,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.1166666666666666,60,215006922.91,Lower,True,Neutral,False,3.5171428571428573,167.48539999999997,217.99580000000003,0.0,0.0594285245659209,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,4681,INE657B01025,BLUECHIP,EQ,,,,,BLUE CHIP INDIA LIMITED,2.14,2.14,2.14,2.14,2.14,2.1,,2.24,,,11621,24868.94,15,F1,1,,,,,,Cash Only,Diversified,False,2.14,2.14,2.14,2.14,2.14,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.4545454545454545,44,36698.64,Higher,True,Neutral,False,0.0321428571428571,,,0.0,0.67765290484879,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,765210,INE574G01013,VASUPRADA,EQ,,,,,SHRI VASUPRADA PLANTATI L,94.0,95.0,94.0,94.5,94.5,94.0,,94.5,,,50,4725.0,6,F1,1,,,,,,Cash Only,Diversified,False,94.5,94.5,94.5,94.5,94.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.25,6,4714.58,Inside,False,Neutral,False,,,,,1.002210165062423,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,2792,INE07O001026,EASEMYTRIP,EQ,,,,,EASY TRIP PLANNERS LTD,6.11,6.18,6.06,6.12,6.13,6.1,,6.12,,,8588475,52656331.31,4785,F1,1,,,,,,Cash Only,Diversified,False,6.12,6.119999999999999,6.120000000000001,6.120000000000001,6.119999999999999,1.7763568394002505e-15,2.902543855229167e-14,Narrow,Bullish,Inside CPR,False,False,0.05,60,123644618.655,Inside,True,Neutral,True,0.1921428571428571,6.734400000000001,7.2565,9.244979833309855e-15,0.4258683627544243,False,False,Watch Long,Long,34,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.43x) (4/20); Higher timeframe: opposes setup (-1) (0/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,-2,-1,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,762663,INE669R01026,ELITECON,EQ,,,,,ELITECON INTERNATIONAL L,11.2,11.2,11.2,11.2,11.2,11.78,,11.2,,,1116613,12506065.6,3079,F1,1,,,,,,Cash Only,Diversified,False,11.199999999999998,11.2,11.199999999999996,11.2,11.199999999999996,3.552713678800501e-15,3.1720657846433045e-14,Narrow,Bearish,Inside CPR,False,False,0.0166666666666666,60,44839855.8,Lower,True,Neutral,True,1.0171428571428571,19.434,,3.492836481966785e-15,0.2789051252925751,False,False,Watch Short,Short,66,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.28x) (4/20); Higher timeframe: slightly aligned (-1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,-1,0,0,-1,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,763299,INE361K01017,GRADIENTE,EQ,,,,,GRADIENTE INFOTAINMENT L,2.79,2.79,2.65,2.72,2.75,2.71,,2.72,,,2679318,7373930.56,362,F1,1,,,,,,Cash Only,Diversified,False,2.72,2.72,2.7200000000000006,2.7200000000000006,2.72,8.881784197001252e-16,3.2653618371328134e-14,Narrow,Bullish,Inside CPR,False,False,0.3478260869565217,46,2919795.095,Higher,True,Neutral,False,0.2221428571428571,,,3.998230828232075e-15,2.525495906417364,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,764753,INE953E01022,KSE,EQ,,,,,KSE LTD.,177.96,180.95,175.02,177.99,177.11,177.96,,178.03,,,22498,4005815.88,374,F1,1,,,,,,Cash Only,Diversified,False,177.98666666666668,177.985,177.98833333333334,177.98833333333334,177.985,0.0033333333333303,0.0018727643875107,Narrow,Bullish,Above CPR,True,False,0.1,10,6216162.630000001,Lower,False,Neutral,False,,,,,0.6444194141040354,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,305,INE118A01012,BAJAJHLDNG,EQ,,,,,BAJAJ HOLDINGS & INVS LTD,11406.0,11429.0,11250.0,11340.0,11340.0,11399.0,,11340.0,,,31945,362582209.0,6759,F1,1,,,,,,F&O + Cash,Financial Services,True,11339.666666666666,11339.5,11339.833333333332,11339.833333333332,11339.5,0.3333333333321207,0.0029394473838811,Narrow,Bullish,Above CPR,True,False,0.0166666666666666,60,504210190.5,Lower,True,Neutral,True,219.42857142857144,10970.52,10623.285,0.0015190972222166,0.7191092441833541,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,15039,INE739E01017,CERA,EQ,,,,,CERA SANITARYWARE LTD,5690.0,5709.5,5600.0,5654.5,5645.0,5662.0,,5655.14,,,7189,40707303.0,2907,F1,1,,,,,,Cash Only,Ceramics & Sanitaryware,False,5654.666666666667,5654.75,5654.583333333334,5654.75,5654.583333333334,0.1666666666660603,0.00294750493706,Narrow,Bearish,Below CPR,False,True,0.0166666666666666,60,46810608.25,Lower,True,Neutral,True,152.14285714285714,6138.98,5857.493,0.0010954616588379,0.8696170488235431,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,5258,INE095A01012,INDUSINDBK,EQ,,,,,INDUSIND BANK LIMITED,997.0,1000.6,987.3,994.0,994.0,1002.9,,994.0,,,1026834,1018955659.3,55158,F1,1,,,,,,F&O + Cash,Financial Services,True,993.9666666666668,993.95,993.9833333333332,993.9833333333332,993.95,0.033333333333303,0.0033534540576763,Narrow,Bullish,Above CPR,True,False,0.0333333333333333,60,1465176217.3,Lower,True,Neutral,True,15.721428571428564,998.826,946.051,0.0021202483719502,0.6954492212395537,False,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,15124,INE094I01018,KOLTEPATIL,EQ,,,,,KOLTE PATIL DEV. LTD.,450.0,452.85,443.5,448.2,446.0,447.95,,448.23,,,46188,20703866.8,2119,F1,1,,,,,,Cash Only,Diversified,False,448.1833333333333,448.175,448.19166666666666,448.19166666666666,448.175,0.0166666666666515,0.0037185780157633,Narrow,Bullish,Above CPR,True,False,0.0333333333333333,60,25518985.05,Lower,True,Neutral,True,25.77857142857143,408.104,388.8175,0.000646531818601,0.8113123135357612,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
2026-08-28,2026-08-28,CM,NSE,STK,20556,INE922K01024,INDIASHLTR,EQ,,,,,INDIA SHELTER FIN CORP L,653.7,653.7,646.1,649.85,650.5,650.3,,649.85,,,55916,36310675.5,7659,F1,1,,,,,,Cash Only,Diversified,False,649.8833333333333,649.9000000000001,649.8666666666666,649.9000000000001,649.8666666666666,0.0333333333335303,0.0051293888333508,Narrow,Bearish,Below CPR,False,True,0.0333333333333333,60,65812664.35,Lower,True,Neutral,True,19.828571428571447,736.34,764.2215,0.0016810758885786,0.5517277845931792,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0,None,0,No active J-Curve setup.
