SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe
ALBERTDAVD,20260131,738.2,769.0,663.35,687.4,40378808.35,ALBERT DAVID LIMITED,20260131,706.5833333333334,716.175,696.9916666666668,716.175,696.9916666666668,19.183333333333167,2.790708951605058,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,6,43520985.925,Lower,True,Unknown,False,,,,,0.9278008641528726,False,False,No setup,Feb 2026,Monthly
ALEMBICLTD,20260131,101.19,105.0,89.8,92.93,421129732.19,ALEMBIC LIMITED,20260131,95.91000000000001,97.4,94.42000000000002,97.4,94.42000000000002,2.9799999999999898,3.2067147315183355,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,529507412.81,Lower,True,Unknown,False,,,,,0.7953235818836619,False,False,No setup,Feb 2026,Monthly
ALGOQUANT,20260131,70.0,71.01,56.0,60.67,808036246.89,ALGOQUANT FINTECH LIMITED,20260131,62.56,63.505,61.615,63.505,61.615,1.8900000000000006,3.115213449810451,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,1,808036246.89,Unknown,False,Unknown,False,,,,,1.0,False,False,No setup,Feb 2026,Monthly
ALICON,20260131,819.4,874.0,655.9,679.65,141007414.0,ALICON CASTALLOY LIMITED,20260131,736.5166666666668,764.95,708.0833333333335,764.95,708.0833333333335,56.86666666666656,8.367051668751058,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,172790125.14999998,Lower,True,Unknown,False,,,,,0.8160617620803895,False,False,No setup,Feb 2026,Monthly
ALIVUS,20260131,916.6,966.95,819.0,961.05,1535623471.1,ALIVUS LIFE SCIENCES LTD,20260131,915.6666666666666,892.975,938.3583333333332,938.3583333333332,892.975,45.38333333333321,4.722265577580065,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,6,1687487136.05,Overlapping,True,Unknown,False,,,,,0.9100060310353084,False,False,No setup,Feb 2026,Monthly
ALKALI,20260131,81.88,81.88,66.9,68.86,8249515.89,ALKALI METALS LTD,20260131,72.54666666666667,74.39,70.70333333333333,74.39,70.70333333333333,3.6866666666666674,5.353858069513023,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,6,12483083.559999999,Lower,True,Unknown,False,,,,,0.6608556171516968,False,False,No setup,Feb 2026,Monthly
ALKEM,20260131,5477.0,5933.5,5384.0,5677.5,13569549522.0,ALKEM LABORATORIES LTD.,20260131,5665.0,5658.75,5671.25,5671.25,5658.75,12.5,0.22016732716864817,Narrow,Bullish,Above CPR,Healthcare,True,True,False,0.3333333333333333,6,16487311228.5,Higher,True,Unknown,False,,,,,0.8230298642354521,False,False,No setup,Feb 2026,Monthly
ALKYLAMINE,20260131,1596.1,1668.7,1506.7,1570.6,7121780697.9,ALKYL AMINES CHEM. LTD,20260131,1582.0,1587.7,1576.3,1587.7,1576.3,11.400000000000091,0.725837259646001,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.16666666666666666,6,1145822791.65,Lower,True,Unknown,True,,,,,6.215429427481138,False,False,Short,Feb 2026,Monthly
ALLCARGO,20260131,10.14,11.68,8.97,10.39,1203057867.63,ALLCARGO LOGISTICS LTD,20260131,10.346666666666666,10.325,10.368333333333332,10.368333333333332,10.325,0.043333333333333,0.41706769329483157,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.16666666666666666,6,1216388999.63,Lower,True,Unknown,True,,,,,0.9890404040121581,False,False,No setup,Feb 2026,Monthly
ALLDIGI,20260131,869.0,925.9,770.0,897.75,129281030.85,ALLDIGI TECH LIMITED,20260131,864.5500000000001,847.95,881.1500000000001,881.1500000000001,847.95,33.200000000000045,3.698134224450019,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,6,134447503.875,Overlapping,True,Unknown,False,,,,,0.9615725627022169,False,False,No setup,Feb 2026,Monthly
ALLTIME,20260131,262.05,269.25,220.25,227.05,452489462.45,ALL TIME PLASTICS LIMITED,20260131,238.85,244.75,232.95,244.75,232.95,11.800000000000011,5.197093151288267,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,6,1202555239.75,Lower,True,Unknown,False,,,,,0.3762733282373526,False,False,No setup,Feb 2026,Monthly
ALMONDZ,20260131,17.25,19.28,12.89,14.61,120612485.14,ALMONDZ GLOBAL SEC LTD,20260131,15.593333333333334,16.085,15.101666666666667,16.085,15.101666666666667,0.9833333333333343,6.730549851699756,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,63220074.645,Lower,True,Unknown,False,,,,,1.9078194041572378,False,False,No setup,Feb 2026,Monthly
ALOKINDS,20260131,16.09,17.21,14.0,15.1,2024352420.8500001,ALOK INDUSTRIES LIMITED,20260131,15.436666666666667,15.605,15.268333333333334,15.605,15.268333333333334,0.336666666666666,2.2295805739514307,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,6,1703112036.11,Lower,True,Unknown,False,,,,,1.1886196432935385,False,False,No setup,Feb 2026,Monthly
ALPA,20260131,77.85,80.08,61.0,68.14,18628765.48,ALPA LABORATORIES LTD,20260131,69.74,70.53999999999999,68.94,70.53999999999999,68.94,1.5999999999999943,2.3481068388611597,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5,6,28498148.415,Lower,True,Unknown,False,,,,,0.6536833624669718,False,False,No setup,Feb 2026,Monthly
ALPHAGEO,20260131,225.05,235.0,198.0,213.45,17093328.59,ALPHAGEO (INDIA) LIMITED,20260131,215.48333333333335,216.5,214.4666666666667,216.5,214.4666666666667,2.033333333333303,0.9526040446630607,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.3333333333333333,6,42410091.55,Lower,True,Unknown,False,,,,,0.4030486133199588,False,False,No setup,Feb 2026,Monthly
AMAGI,20260131,318.0,391.8,318.0,366.7,14633871364.15,AMAGI MEDIA LABS LIMITED,20260131,358.8333333333333,354.9,362.76666666666665,362.76666666666665,354.9,7.866666666666674,2.145259521861651,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,1,14633871364.15,Unknown,False,Unknown,False,,,,,1.0,False,False,No setup,Feb 2026,Monthly
AMANTA,20260131,109.0,115.0,98.25,103.33,131688450.48,AMANTA HEALTHCARE LIMITED,20260131,105.52666666666666,106.625,104.42833333333331,106.625,104.42833333333331,2.1966666666666868,2.1258750282267367,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.4,5,262454690.17000002,Lower,False,Unknown,False,,,,,0.5017568952366648,False,False,No setup,Feb 2026,Monthly
AMBER,20260131,6405.0,6824.0,5400.5,5716.0,31647469743.0,AMBER ENTERPRISES (I) LTD,20260131,5980.166666666667,6112.25,5848.083333333334,6112.25,5848.083333333334,264.16666666666606,4.6215302076043745,Wide,Bearish,Below CPR,Consumer Durables,True,False,False,1.0,6,42581871606.0,Lower,True,Unknown,False,,,,,0.7432146251303033,False,False,No setup,Feb 2026,Monthly
AMBICAAGAR,20260131,25.57,25.99,22.9,23.62,4078508.7399999998,AMBICA AGAR & AROMAINDLTD,20260131,24.17,24.445,23.895000000000003,24.445,23.895000000000003,0.5499999999999972,2.3285351397120966,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6666666666666666,6,6843759.695,Lower,True,Unknown,False,,,,,0.5959456383279688,False,False,No setup,Feb 2026,Monthly
AMBIKCO,20260131,1244.9,1350.0,1101.0,1288.1,148895773.3,AMBIKA COTTON MILL LTD.,20260131,1246.3666666666666,1225.5,1267.2333333333331,1267.2333333333331,1225.5,41.73333333333312,3.2399140853453243,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.8333333333333334,6,164354231.25,Outside,True,Unknown,False,,,,,0.9059442654294305,False,False,No setup,Feb 2026,Monthly
AMBUJACEM,20260131,556.9,573.1,507.9,510.15,24923365685.95,AMBUJA CEMENTS LTD,20260131,530.3833333333333,540.5,520.2666666666667,540.5,520.2666666666667,20.23333333333335,3.9661537456303733,Wide,Bearish,Below CPR,Construction Materials,True,False,False,1.0,6,20054548730.9,Lower,True,Unknown,False,,,,,1.2427786842966024,False,False,No setup,Feb 2026,Monthly
AMDIND,20260131,48.0,58.4,42.38,43.91,85954274.66,AMD INDUSTRIES LIMITED,20260131,48.23,50.39,46.06999999999999,50.39,46.06999999999999,4.320000000000007,9.838305625142354,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,49456244.19,Overlapping,True,Unknown,False,,,,,1.73798629612436,False,False,No setup,Feb 2026,Monthly
AMJLAND,20260131,51.15,53.47,40.05,41.97,31577473.95,AMJ LAND HOLDINGS LIMITED,20260131,45.163333333333334,46.76,43.56666666666667,46.76,43.56666666666667,3.193333333333328,7.608609324120391,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,32581973.5,Lower,True,Unknown,False,,,,,0.9691700826532192,False,False,No setup,Feb 2026,Monthly
AMNPLST,20260131,189.01,204.5,165.0,170.39,30062888.94,AMINES & PLASTICIZERS LTD,20260131,179.96333333333334,184.75,175.17666666666668,184.75,175.17666666666668,9.573333333333323,5.618483087818137,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,6,30666923.065,Lower,True,Unknown,False,,,,,0.9803033997339831,False,False,No setup,Feb 2026,Monthly
AMRUTANJAN,20260131,668.55,676.5,575.0,583.75,149087581.05,AMRUTAJAN HEALTH LTD,20260131,611.75,625.75,597.75,625.75,597.75,28.0,4.796573875802998,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,233711021.3,Lower,True,Unknown,False,,,,,0.6379142079851927,False,False,No setup,Feb 2026,Monthly
ANANDRATHI,20260131,3103.0,3205.5,2707.7,2885.4,17245400518.7,ANAND RATHI WEALTH LTD,20260131,2932.866666666667,2956.6,2909.1333333333337,2956.6,2909.1333333333337,47.46666666666624,1.6450636537972636,Wide,Bearish,Below CPR,Financial Services,True,False,False,0.3333333333333333,6,12762141990.95,Lower,True,Unknown,False,,,,,1.3512935783765145,False,False,No setup,Feb 2026,Monthly
ANANTRAJ,20260131,547.95,608.4,478.0,504.3,27710733603.95,ANANT RAJ LIMITED,20260131,530.2333333333333,543.2,517.2666666666667,543.2,517.2666666666667,25.933333333333394,5.142441668319134,Wide,Bearish,Below CPR,Realty,True,False,False,0.8333333333333334,6,31711438362.700005,Outside,True,Unknown,False,,,,,0.8738403249643901,False,False,No setup,Feb 2026,Monthly
ANDHRAPAP,20260131,67.21,68.09,61.16,64.91,126719954.98,ANDHRA PAPER LIMITED,20260131,64.72,64.625,64.815,64.815,64.625,0.18999999999999773,0.2927129872130607,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.16666666666666666,6,212363438.76500002,Lower,True,Unknown,True,,,,,0.5967126719973087,False,False,No setup,Feb 2026,Monthly
ANDHRSUGAR,20260131,75.68,76.4,66.5,70.07,151928229.17,ANDHRA SUGARS LTD,20260131,70.99,71.45,70.52999999999999,71.45,70.52999999999999,0.9200000000000159,1.312972741544193,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.3333333333333333,6,298279830.84000003,Lower,True,Unknown,False,,,,,0.5093479795202634,False,False,No setup,Feb 2026,Monthly
ANGELONE,20260131,2352.0,2778.6,2297.6,2540.9,53847049150.7,ANGEL ONE LIMITED,20260131,2539.0333333333333,2538.1,2539.9666666666667,2539.9666666666667,2538.1,1.866666666666788,0.07346478281974056,Narrow,Bullish,Above CPR,Financial Services,True,True,False,0.16666666666666666,6,43335984232.95,Inside,True,Unknown,True,,,,,1.242548198772835,False,False,No setup,Feb 2026,Monthly
ANIKINDS,20260131,54.22,54.78,42.0,48.23,47960311.61,ANIK INDUSTRIES LTD,20260131,48.336666666666666,48.39,48.28333333333333,48.39,48.28333333333333,0.10666666666666913,0.22116248531343385,Narrow,Bearish,Below CPR,Unclassified,False,False,True,0.16666666666666666,6,55726844.835,Lower,True,Unknown,True,,,,,0.8606321020327689,False,False,No setup,Feb 2026,Monthly
