SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
MAHESHWARI,EQ,MAHESHWARI LOGISTICS LTD.,54.5,56.4,54.5,55.45,13167,734111.52,20260529,55.45000000000001,55.45,55.45000000000002,55.45000000000002,55.45,1.4210854715202004e-14,2.5628232128407585e-14,Narrow,Bullish,Inside CPR,Cash Only,Diversified,False,False,0.1666666666666666,6,511615.395,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WEALTH,EQ,WEALTH FRST PORT. MG. LTD,901.25,1073.0,901.25,987.4,30026,30133281.25,20260529,987.2166666666668,987.125,987.3083333333334,987.3083333333334,987.125,0.1833333333333939,0.0185672810748829,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,3593150.175,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
3IINFOLTD,EQ,3I INFOTECH LIMITED,16.91,17.58,16.89,17.24,280076,4857383.43,20260529,17.236666666666665,17.235,17.23833333333333,17.23833333333333,17.235,0.0033333333333303,0.0193348801237256,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.1666666666666666,6,4911045.24,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TRF,EQ,TRF LIMITED,240.65,242.45,234.8,238.7,3871,923557.45,20260529,238.65,238.625,238.675,238.675,238.625,0.0500000000000113,0.0209467951403482,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,1557388.8250000002,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PREMIERENE,EQ,PREMIER ENERGIES LIMITED,1060.0,1081.2,1040.0,1061.0,4187722,4440265750.3,20260529,1060.7333333333331,1060.6,1060.8666666666668,1060.8666666666668,1060.6,0.2666666666668789,0.025133521834767,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.1666666666666666,6,4093356521.6,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NGLFINE,EQ,NGL FINE CHEM LIMITED,2697.6,2878.0,2690.1,2785.1,15999,44657314.8,20260529,2784.4,2784.05,2784.75,2784.75,2784.05,0.6999999999998181,0.025133747441737,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,69575928.55,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ANUP,EQ,THE ANUP ENGINEERING LTD,1870.0,1889.9,1789.1,1840.4,108373,199017887.4,20260529,1839.8,1839.5,1840.1,1840.1,1839.5,0.599999999999909,0.0326016083460068,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,53982334.1,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ANDHRSUGAR,EQ,ANDHRA SUGARS LTD,87.96,92.0,86.77,89.43,465695,41734470.86,20260529,89.39999999999999,89.38499999999999,89.41499999999999,89.41499999999999,89.38499999999999,0.0300000000000011,0.0335457900033558,Narrow,Bullish,Above CPR,Cash Only,FMCG & Food Products,True,False,0.1666666666666666,6,23652061.635,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NYKAA,EQ,FSN E COMMERCE VENTURES,263.15,265.25,259.05,262.3,19333644,5068705905.95,20260529,262.2,262.15,262.25,262.25,262.15,0.1000000000000227,0.0381242851696617,Narrow,Bullish,Above CPR,Cash Only,Consumer Services,True,False,0.3333333333333333,6,2107731828.925,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MAXESTATES,EQ,MAX ESTATES LIMITED,454.0,455.95,431.5,444.0,144388,64331346.6,20260529,443.81666666666666,443.725,443.9083333333333,443.9083333333333,443.725,0.1833333333332802,0.0412912912912793,Narrow,Bullish,Above CPR,Cash Only,Real Estate & Infra,True,False,0.3333333333333333,6,51011745.225,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WINDLAS,EQ,WINDLAS BIOTECH LIMITED,812.6,852.55,812.6,833.1,75105,62980449.1,20260529,832.75,832.575,832.925,832.925,832.575,0.349999999999909,0.0420117632937113,Narrow,Bullish,Above CPR,Cash Only,Power & Utilities,True,False,0.1666666666666666,6,79235172.425,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CHENNPETRO,EQ,CHENNAI PETROLEUM CORP LT,1065.0,1070.0,1045.0,1058.2,689112,730331128.4,20260529,1057.7333333333331,1057.5,1057.9666666666667,1057.9666666666667,1057.5,0.466666666666697,0.0441000441000469,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,0.1666666666666666,6,585373928.2,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ASTRAZEN,EQ,ASTRAZENECA PHARMA IND LT,8600.0,8820.0,8431.5,8631.5,29548,256511084.0,20260529,8627.666666666666,8625.75,8629.583333333332,8629.583333333332,8625.75,3.8333333333321207,0.0444109753036218,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,159668610.75,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
FEDERALBNK,EQ,FEDERAL BANK LTD,292.0,293.9,283.6,288.95,239376091,69169553168.55,20260529,288.81666666666666,288.75,288.8833333333333,288.8833333333333,288.75,0.1333333333333257,0.0461440849051136,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.1666666666666666,6,2341315004.125,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RATEGAIN,EQ,RATEGAIN TRAVEL TECHN LTD,736.2,766.7,725.1,746.45,1234116,919159698.15,20260529,746.0833333333334,745.9000000000001,746.2666666666667,746.2666666666667,745.9000000000001,0.3666666666665605,0.0491213968338884,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.1666666666666666,6,932278669.975,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HGM,EQ,HANDSON GBL MNGMNT LTD,62.79,62.79,57.5,60.19,3811,232164.37,20260529,60.16,60.145,60.175,60.175,60.145,0.0300000000000011,0.0498421664728379,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,284809.395,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAGARDEEP,EQ,SAGARDEEP ALLOYS LIMITED,26.11,26.99,26.11,26.57,20191,538270.34,20260529,26.55666666666666,26.55,26.563333333333325,26.563333333333325,26.55,0.0133333333333283,0.0501819094216345,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,627772.0549999999,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RPGLIFE,EQ,RPG LIFE SCIENCES LTD,2235.1,2258.8,2187.2,2224.7,12035,26816826.9,20260529,2223.5666666666666,2223.0,2224.133333333333,2224.133333333333,2223.0,1.133333333333212,0.0509431983338523,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,18504093.75,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SIEMENS,EQ,SIEMENS LTD,3859.7,3937.3,3744.6,3844.0,2024437,7793826458.8,20260529,3841.9666666666662,3840.95,3842.9833333333336,3842.9833333333336,3840.95,2.0333333333337578,0.0528962885882871,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.1666666666666666,6,2315745655.9,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DIVGIITTS,EQ,DIVGI TORQTRANSFER SYST L,791.0,843.25,778.55,811.55,186496,152753503.85,20260529,811.1166666666667,810.9,811.3333333333334,811.3333333333334,810.9,0.4333333333333939,0.0533957653050821,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,49135750.475,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TRU,EQ,TRUCAP FINANCE LIMITED,6.05,6.05,5.9,5.98,108269,647070.65,20260529,5.976666666666667,5.975,5.9783333333333335,5.9783333333333335,5.975,0.0033333333333338,0.0557413600891948,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,521456.39,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUNDRMFAST,EQ,SUNDRAM FASTENERS LTD,878.9,878.9,840.55,860.45,106361,91739954.05,20260529,859.9666666666666,859.7249999999999,860.2083333333333,860.2083333333333,859.7249999999999,0.4833333333333485,0.0561721579793536,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,57098129.675,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TVSHLTD,EQ,TVS HOLDINGS LIMITED,13602.0,13633.0,13456.0,13556.0,3274,44405246.0,20260529,13548.333333333334,13544.5,13552.166666666668,13552.166666666668,13544.5,7.666666666667879,0.0565555227697541,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,34353887.0,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ZEEL,EQ,ZEE ENTERTAINMENT ENT LTD,92.2,95.46,90.6,93.11,42532141,3962462415.61,20260529,93.05666666666669,93.03,93.08333333333334,93.08333333333334,93.03,0.0533333333333416,0.0572799198081212,Narrow,Bullish,Above CPR,Cash Only,Media Entertainment & Publication,True,False,0.1666666666666666,6,804277908.255,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CINELINE,EQ,CINELINE INDIA LIMITED,79.0,80.5,78.2,79.42,5444,429333.14,20260529,79.37333333333333,79.35,79.39666666666668,79.39666666666668,79.35,0.046666666666681,0.05875933853775,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,403344.35,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
COHANCE,EQ,COHANCE LIFESCIENCES LTD,427.3,435.0,427.2,431.5,609209,262797280.5,20260529,431.23333333333335,431.1,431.3666666666667,431.3666666666667,431.1,0.2666666666666515,0.061799922750093,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.1666666666666666,6,276105210.225,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LYKALABS,EQ,LYKA LABS LTD,57.59,59.4,57.09,58.3,31052,1796971.0,20260529,58.26333333333334,58.245000000000005,58.28166666666668,58.28166666666668,58.245000000000005,0.0366666666666759,0.0628930817610222,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,True,False,0.3333333333333333,6,1541387.14,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INA,EQ,INSOLATION ENERGY LIMITED,123.68,129.25,123.0,126.25,1306042,164994002.09,20260529,126.16666666666669,126.125,126.20833333333334,126.20833333333334,126.125,0.0833333333333428,0.0660066006600735,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,209372462.53,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BAGFILMS,EQ,B.A.G FILMS AND MEDIA LTD,4.97,5.12,4.97,5.05,52634,266345.24,20260529,5.046666666666667,5.045,5.048333333333334,5.048333333333334,5.045,0.0033333333333338,0.0660066006600763,Narrow,Bullish,Above CPR,Cash Only,Media & Entertainment,True,False,0.3333333333333333,6,318619.8,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TDPOWERSYS,EQ,TD POWER SYSTEMS LTD.,1305.0,1359.0,1275.5,1318.6,1542801,2029412937.5,20260529,1317.7,1317.25,1318.15,1318.15,1317.25,0.900000000000091,0.0682542090095625,Narrow,Bullish,Above CPR,Cash Only,Power & Utilities,True,False,0.3333333333333333,6,1695273460.3,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BIL,EQ,BHARTIYA INTERNATIONAL,756.6,793.0,756.6,775.6,6352,4929792.05,20260529,775.0666666666666,774.8,775.3333333333333,775.3333333333333,774.8,0.533333333333303,0.0687639676809312,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,2911491.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PAGEIND,EQ,PAGE INDUSTRIES LTD,38010.0,38680.0,37630.0,38195.0,84377,3222104390.0,20260529,38168.333333333336,38155.0,38181.66666666667,38181.66666666667,38155.0,26.66666666667152,0.0698171662957756,Narrow,Bullish,Above CPR,Cash Only,Textiles,True,False,0.3333333333333333,6,2251535700.0,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUNDRMBRAK,EQ,SUNDARAM BRAK LININGS LTD,762.1,765.95,709.95,738.75,9059,6747913.6,20260529,738.2166666666667,737.95,738.4833333333333,738.4833333333333,737.95,0.533333333333303,0.072194021432596,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,10627082.8,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
USHAMART,EQ,USHA MARTIN LTD.,515.0,516.9,494.1,506.05,1070998,546190121.1,20260529,505.6833333333333,505.5,505.8666666666667,505.8666666666667,505.5,0.3666666666666742,0.0724566083720332,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,6,216656168.725,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
UCAL,EQ,UCAL LIMITED,97.83,102.0,96.3,99.26,52858,5266537.93,20260529,99.18666666666668,99.15,99.22333333333331,99.22333333333331,99.15,0.0733333333333234,0.073880045671291,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,2764292.4400000004,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DOLLAR,EQ,DOLLAR INDUSTRIES LIMITED,268.8,268.8,263.0,266.2,118872,31640278.35,20260529,266.0,265.9,266.1,266.1,265.9,0.2000000000000454,0.0751314800901748,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,6,65658712.7,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EMAMILTD,EQ,EMAMI LIMITED,400.5,404.0,393.3,399.1,1065444,425287726.45,20260529,398.8,398.65,398.9500000000001,398.9500000000001,398.65,0.3000000000000682,0.0751691305437404,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.1666666666666666,6,266324926.0,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
STEELCITY,EQ,STEEL CITY SECURITIES LTD,78.0,79.5,77.7,78.69,5108,401574.15,20260529,78.63,78.6,78.66,78.66,78.6,0.0600000000000022,0.076248570339309,Narrow,Bullish,Above CPR,Cash Only,Metals & Mining,True,False,0.1666666666666666,6,297416.9,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ASKAUTOLTD,EQ,ASK AUTOMOTIVE LIMITED,459.65,460.8,450.0,455.95,112307,51140557.55,20260529,455.5833333333333,455.4,455.76666666666665,455.76666666666665,455.4,0.3666666666666742,0.0804181745074403,Narrow,Bullish,Above CPR,Cash Only,Automobile & Ancillary,True,False,0.1666666666666666,6,46342362.375,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BCLIND,EQ,BCL INDUSTRIES LIMITED,33.07,33.7,31.5,32.64,725861,24068014.32,20260529,32.61333333333334,32.6,32.62666666666667,32.62666666666667,32.6,0.0266666666666708,0.0816993464052415,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,31205564.395,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NAM-INDIA,EQ,NIPPON L I A M LTD,1090.8,1122.0,1075.7,1100.2,2331691,2565636274.5,20260529,1099.3,1098.85,1099.75,1099.75,1098.85,0.900000000000091,0.0818033084893738,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.1666666666666666,6,980984989.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHREEPUSHK,EQ,SHRE PUSH CHEM & FERT LTD,364.15,372.0,357.0,364.95,100396,36719050.5,20260529,364.65,364.5,364.80000000000007,364.80000000000007,364.5,0.3000000000000682,0.0822030415125546,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,35594516.375,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
