SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
HAVELLS,EQ,HAVELLS INDIA LIMITED,1209.9,1214.8,1200.8,1203.8,375805,453463864.3,20260525,1206.4666666666665,1207.8,1205.133333333333,1207.8,1205.133333333333,2.66666666666697,0.2215207398792963,Narrow,Bearish,Below CPR,Cash Only,Consumer Durables,False,True,0.6666666666666666,3,698556795.4,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DBL,EQ,DILIP BUILDCON LIMITED,430.0,439.7,428.5,435.55,132611,57648018.35,20260525,434.5833333333333,434.1,435.0666666666666,435.0666666666666,434.1,0.9666666666665832,0.2219416063980216,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,49290723.05,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHINDL,EQ,SHARAT INDUSTRIES LTD.,158.0,163.8,154.04,158.39,134300,21153268.73,20260525,158.74333333333334,158.92000000000002,158.56666666666666,158.92000000000002,158.56666666666666,0.353333333333353,0.2230780562746089,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,20234598.83,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KIRLOSENG,EQ,KIRLOSKAR OIL ENG LTD,1665.0,1737.9,1656.3,1702.8,384673,653935368.1,20260525,1699.0,1697.1,1700.9,1700.9,1697.1,3.800000000000182,0.2231618510688385,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,1.0,3,446451366.7,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAGILITY,EQ,SAGILITY LIMITED,41.69,41.99,41.33,41.8,8218373,342707924.75,20260525,41.70666666666666,41.66,41.75333333333333,41.75333333333333,41.66,0.0933333333333337,0.2232854864433821,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.3333333333333333,3,435028334.01,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
IVC,EQ,IL&FS INVESTMENT MANAGERS,7.35,7.62,7.35,7.46,113210,849330.23,20260525,7.476666666666667,7.484999999999999,7.468333333333334,7.484999999999999,7.468333333333334,0.0166666666666657,0.2234137622877442,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,849330.23,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KPL,EQ,KWALITY PHARMACEUTICALS L,2180.0,2319.8,2161.2,2233.0,108776,245336518.9,20260525,2238.0,2240.5,2235.5,2240.5,2235.5,5.0,0.2239140170174652,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,121212792.6,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RUPA,EQ,RUPA & COMPANY LTD,148.0,149.68,147.04,148.86,85460,12697053.57,20260525,148.52666666666667,148.36,148.69333333333333,148.69333333333333,148.36,0.3333333333333144,0.2239240449639354,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,8482323.51,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABINFRA,EQ,A B INFRABUILD LIMITED,13.18,14.0,12.77,13.34,960315,12918029.22,20260525,13.37,13.385,13.355,13.385,13.355,0.0300000000000011,0.2248875562218975,Narrow,Bearish,Below CPR,Cash Only,Real Estate & Infra,False,True,0.6666666666666666,3,12918029.22,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CMSINFO,EQ,CMS INFO SYSTEMS LIMITED,308.9,314.0,305.0,310.55,429561,133567376.45,20260525,309.85,309.5,310.19999999999993,310.19999999999993,309.5,0.6999999999999318,0.2254065367895449,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.3333333333333333,3,138157811.8,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ESSARSHPNG,EQ,ESSAR SHIPPING LTD,24.02,24.48,23.0,23.66,314998,7469889.97,20260525,23.71333333333333,23.74,23.686666666666667,23.74,23.686666666666667,0.0533333333333345,0.2254156100309998,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,7469889.97,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABREL,EQ,ADITYA BIRLA REAL EST LTD,1257.0,1307.6,1255.3,1285.8,218318,281494822.4,20260525,1282.9,1281.4499999999998,1284.35,1284.35,1281.4499999999998,2.900000000000091,0.2255405195209279,Narrow,Bullish,Above CPR,Cash Only,Realty,True,False,0.3333333333333333,3,175287238.3,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BLUSPRING,EQ,BLUSPRING ENTERPRISES LTD,67.32,70.0,66.16,67.85,202587,13662619.42,20260525,68.00333333333333,68.08,67.92666666666666,68.08,67.92666666666666,0.1533333333333359,0.2259887005649756,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,13662619.42,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,8.93,9.1,8.6,8.82,127697,1122860.02,20260525,8.84,8.85,8.83,8.85,8.83,0.0199999999999995,0.2267573696145076,Narrow,Bearish,Below CPR,Cash Only,Information Technology,False,True,0.3333333333333333,3,723971.09,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DOMS,EQ,DOMS INDUSTRIES LIMITED,2225.0,2231.0,2194.0,2205.0,31369,69383212.0,20260525,2210.0,2212.5,2207.5,2212.5,2207.5,5.0,0.2267573696145124,Narrow,Bearish,Below CPR,Cash Only,Fast Moving Consumer Goods,False,True,0.3333333333333333,3,106355846.5,Overlapping,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KALPATARU,EQ,KALPATARU LIMITED,345.0,345.0,333.0,337.85,160873,54174817.25,20260525,338.6166666666667,339.0,338.2333333333333,339.0,338.2333333333333,0.7666666666666515,0.2269251640274238,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,54174817.25,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,5.69,5.99,5.69,5.86,132941,779645.51,20260525,5.846666666666667,5.84,5.8533333333333335,5.8533333333333335,5.84,0.0133333333333336,0.2275312855517686,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,714844.27,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HGS,EQ,HINDUJA GLOBAL SOLS. LTD.,409.65,417.4,403.6,409.1,15238,6249302.75,20260525,410.0333333333333,410.5,409.5666666666666,410.5,409.5666666666666,0.933333333333394,0.2281430783019784,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,6249302.75,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUPERHOUSE,EQ,SUPERHOUSE LIMITED,155.0,156.4,152.0,154.73,9304,1439808.38,20260525,154.3766666666667,154.2,154.55333333333334,154.55333333333334,154.2,0.353333333333353,0.2283547685215233,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.6666666666666666,3,1131280.9,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,2920.0,2963.3,2864.2,2923.8,333972,970339960.2,20260525,2917.1,2913.75,2920.45,2920.45,2913.75,6.699999999999818,0.2291538408919836,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.3333333333333333,3,988172073.0,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VRLLOG,EQ,VRL LOGISTICS LIMITED,240.1,242.5,239.05,239.95,145624,35044620.5,20260525,240.5,240.775,240.225,240.775,240.225,0.5500000000000114,0.2292144196707694,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,35447856.1,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INNOVACAP,EQ,INNOVA CAPTAB LIMITED,844.15,882.0,834.0,855.05,85586,73215478.45,20260525,857.0166666666668,858.0,856.0333333333335,858.0,856.0333333333335,1.9666666666664696,0.2300060425316028,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,28966340.75,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GKWLIMITED,EQ,GKW LIMITED,1755.0,1755.0,1666.0,1704.6,126,214259.6,20260525,1708.5333333333335,1710.5,1706.566666666667,1710.5,1706.566666666667,3.933333333332939,0.2307481716140408,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,317463.7,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
